Name, ID, Latitude, Longitude
Dolhain-Gileppe, BE.NMBS.008844545, 50.616244, 5.936494
Dommeldange, BE.NMBS.008200101, 49.633838, 6.13668
Dordrecht, BE.NMBS.008400180, 51.799998, 4.666668
Dortmund Hbf, BE.NMBS.008010053, 51.517898, 7.459293
Drauffelt, BE.NMBS.008200133, 50.017778, 6.006106
Drongen, BE.NMBS.008892031, 51.047295, 3.655202
Duesseldorf Flughafen (DE), BE.NMBS.008015653, 51.27656, 6.767052
Duffel, BE.NMBS.008822210, 51.091243, 4.493186
Duinbergen, BE.NMBS.008891652, 51.338195, 3.263587
Duisburg Hbf, BE.NMBS.008010316, 51.42978, 6.7759037
Dusseldorf Hbf, BE.NMBS.008008094, 51.219178, 6.795297
Düsseldorf Flughafen Hbf, BE.NMBS.008039904, 51.292008, 6.786837
Ebbsfleet International, BE.NMBS.007015440, 51.45117, 0.275775
Ede, BE.NMBS.008895877, 50.911054, 3.987524
Edingen/Enghien, BE.NMBS.008883311, 50.697273, 4.047357
Eeklo, BE.NMBS.008893708, 51.181333, 3.574515
Eichem, BE.NMBS.008895752, 50.823994, 3.993745
Eijsden, BE.NMBS.008400219, 50.772135, 5.709786
Eine, BE.NMBS.008892627, 50.870432, 3.623776
Eke-Nazareth, BE.NMBS.008892650, 50.960774, 3.627839
Ekeren, BE.NMBS.008821071, 51.281626, 4.434154
Engis, BE.NMBS.008843240, 50.582957, 5.401986
Eppegem, BE.NMBS.008822269, 50.9584, 4.45749
Erbisoeul, BE.NMBS.008881158, 50.507025, 3.887987
Erembodegem, BE.NMBS.008895091, 50.919621, 4.055447
Ernage, BE.NMBS.008861515, 50.590823, 4.668538
Erpe-Mere, BE.NMBS.008895471, 50.928601, 3.962463
Erps-Kwerps, BE.NMBS.008811262, 50.89651, 4.585001
Erquelinnes, BE.NMBS.008871605, 50.304192, 4.113562
Erquelinnes-Frontière, BE.NMBS.008879004, 50.30233, 4.107929
Erquelinnes-Village, BE.NMBS.008871647, 50.310179, 4.132314
Esneux, BE.NMBS.008842663, 50.530568, 5.572565
Essen, BE.NMBS.008821402, 51.462767, 4.451314
Essen Hbf, BE.NMBS.008010184, 51.42952, 6.776118
Essen-Grens, BE.NMBS.008829009, 51.46909, 4.44893
Essene-Lombeek, BE.NMBS.008812260, 50.882451, 4.115171
Ettelbréck, BE.NMBS.008200120, 49.847496, 6.104169
Etterbeek, BE.NMBS.008811411, 50.822187, 4.389513
Eupen, BE.NMBS.008844628, 50.635157, 6.03711
Evere, BE.NMBS.008811106, 50.86778, 4.400965
