Road, Path, Type, Length [km], European Road
N971, Anhée Denée, nacional road, , 
N972, Eghezée Perwez, nacional road, , 
N975, Châtelet Corenne, nacional road, , 
N977, Biesme Agimont, nacional road, , 
N978, Somzée Cerfontaine, nacional road, , 
N981, Flohimont Beauraing, nacional road, , 
N983, Ohey Barvaux-sur-Ourthe, nacional road, , 
N988, Fleurus Saint-Gérard, nacional road, , 
N992, Gelbressée Marche-les-Dames, nacional road, , 
A1, Brussels - Mechelen - Antwerp - Netherlands, highway, 70.000, E19
A2, Leuven - Aarschot - Diest - Genk - Maasmechelen - Netherlands, highway, 88.000, E314
A3, Brussels - Leuven - Liège - Germany (Aachen), highway, 134.000, E40
A4, Brussels - Namur - Arlon - Luxembourg (Luxembourg (city)), highway, 188.000, E411
A7, Halle - Nivelles - Mons - France (Valenciennes), highway, 61.000, E19
A8, Halle - Tournai - France (Rijsel), highway, 73.000, E429; E42
A10, Brussels - Aalst - Ghent - Bruges - Ostend, highway, 104.000, E40
A11, Antwerp - Zelzate, highway, 43.000, E34
A12, Brussels - Boom - Antwerp - Netherlands (Bergen op Zoom), highway, 55.000, 
A13, Antwerp - Hasselt - Liège, highway, 111.800, E34; E313
A14, Antwerp - Sint-Niklaas - Ghent - Kortrijk - France (Rijsel), highway, 100.500, E17
A15, La Louvière - Charleroi - Namur - Liège, highway, 103.000, E42
A16, Mons - Tournai, highway, 35.000, E42
A17, Bruges - Kortrijk - Tournai, highway, 68.000, E403
A18, Bruges - Veurne - France (Dunkirk), highway, 40.000, E40
A19, Kortrijk - Ypres, highway, 25.000, 
A21, Antwerp - Turnhout - Netherlands (Eindhoven), highway, 48.000, 
A25, Liège - Visé - Netherlands (Maastricht), highway, 15.700, 
A26, Liège - Bastogne - Neufchâteau, highway, 102.500, E25
A27, Battice - Verviers - Malmedy - St. Vith - Germany (Bitburg), highway, 61.500, 
A28, Aubange - France (Longwy), highway, 14.500, 
A54, Nivelles - Charleroi, highway, 23.500, 
A112, Wilrijk - A12, highway, 3.450, 
A201, Brussels Airport - Brussels, highway, 5.000, 
A501, La Louvière - A7, highway, 5.620, 
A503, Charleroi - Mont-sur-Marchienne, highway, 3.520, 
A601, A3 - A13 (near Liège closed), highway, 4.750, 
A602, A3 - A26 (near Liège), highway, 11.245, E25
A604, Seraing - A15, highway, 5.300, 
R0, Brussels (outer ring), ring road, 76.000, 
R1, Antwerp (inner ring), ring road, 17.000, 
R2, Antwerp (outer ring), ring road, 33.000, 
R3, Charleroi (outer ring), ring road, , 
