RFC0171, The Data Transfer Protocol, RFC0264, June 1971, DOI 10.17487/RFC0171, A. Bhushan; B. Braden; W. Crowther; E. Harslem; J. Heafner; A. McKenize; J. Melvin; B. Sundberg; D. Watson; J. White, 
RFC0172, The File Transfer Protocol, RFC0265, June 1971, DOI 10.17487/RFC0172, A. Bhushan; B. Braden; W. Crowther; E. Harslem; J. Heafner; A. McKenzie; J. Melvin; B. Sundberg; D. Watson; J. White, 
RFC0173, Network Data Management Committee Meeting Announcement, , June 1971, DOI 10.17487/RFC0173, P. Karp; D. McKay, 
RFC0174, UCLA - Computer Science Graphics Overview, , June 1971, DOI 10.17487/RFC0174, J. Postel; V. Cerf, 
RFC0175, Comments on Socket Conventions Reconsidered, , June 1971, DOI 10.17487/RFC0175, E. Harslem; J. Heafner, 
RFC0176, Comments on Byte size for connections, , June 1971, DOI 10.17487/RFC0176, A. Bhushan; R. Kanodia; R. Metcalfe; J. Postel, 
RFC0177, Device independent graphical display description, , June 1971, DOI 10.17487/RFC0177, J. McConnell, 
RFC0178, Network graphic attention handling, , June 1971, DOI 10.17487/RFC0178, I. Cotton, 
RFC0179, Link Number Assignments, , June 1971, DOI 10.17487/RFC0179, A. McKenzie, 
RFC0180, File system questionnaire, , June 1971, DOI 10.17487/RFC0180, A. McKenzie, 
RFC0181, Modifications to RFC 177, , July 1971, DOI 10.17487/RFC0181, J. McConnell, 
RFC0182, Compilation of list of relevant site reports, , June 1971, DOI 10.17487/RFC0182, J. North, 
RFC0183, EBCDIC Codes and Their Mapping to ASCII, , July 1971, DOI 10.17487/RFC0183, J. Winett, 
RFC0184, Proposed graphic display modes, , July 1971, DOI 10.17487/RFC0184, K. Kelley, 
RFC0185, NIC distribution of manuals and handbooks, , July 1971, DOI 10.17487/RFC0185, J. North, 
RFC0186, Network graphics loader, , July 1971, DOI 10.17487/RFC0186, J. Michener, 
RFC0187, Network/440 Protocol Concept, , July 1971, DOI 10.17487/RFC0187, D. McKay; D. Karp, 
RFC0188, Data management meeting announcement, , January 1971, DOI 10.17487/RFC0188, P. Karp; D. McKay, 
RFC0189, Interim NETRJS specifications, RFC0599, July 1971, DOI 10.17487/RFC0189, R. Braden, 
RFC0190, DEC PDP-10-IMLAC communications system, , July 1971, DOI 10.17487/RFC0190, L. Deutsch, 
RFC0191, Graphics implementation and conceptualization at Augmentation Research Center, , July 1971, DOI 10.17487/RFC0191, C. Irby, 
RFC0192, Some factors which a Network Graphics Protocol must consider, , July 1971, DOI 10.17487/RFC0192, R. Watson, 
RFC0193, NETWORK CHECKOUT, RFC0198, July 1971, DOI 10.17487/RFC0193, E. Harslem; J. Heafner, 
RFC0194, The Data Reconfiguration Service -- Compiler/Interpreter Implementation Notes, , July 1971, DOI 10.17487/RFC0194, V. Cerf; E. Harslem; J. Heafner; B. Metcalfe; J. White, 
RFC0195, Data computers-data descriptions and access language, , July 1971, DOI 10.17487/RFC0195, G. Mealy, 
RFC0196, Mail Box Protocol, RFC0221, July 1971, DOI 10.17487/RFC0196, R. Watson, 
RFC0197, Initial Connection Protocol - Reviewed, , July 1971, DOI 10.17487/RFC0197, A. Shoshani; E. Harslem, 
RFC0198, Site Certification - Lincoln Labs 360/67, RFC0214, July 1971, DOI 10.17487/RFC0198, J. Heafner, 
RFC0199, Suggestions for a Network Data-Tablet Graphics Protocol, , July 1971, DOI 10.17487/RFC0199, T. Williams, 
RFC0200, RFC list by number, NIC 7724, August 1971, DOI 10.17487/RFC0200, J. North, 
RFC0202, Possible Deadlock in ICP, , July 1971, DOI 10.17487/RFC0202, S. Wolfe; J. Postel, 
RFC0203, Achieving reliable communication, , August 1971, DOI 10.17487/RFC0203, R. Kalin, 
RFC0204, Sockets in use, , August 1971, DOI 10.17487/RFC0204, J. Postel, 
RFC0205, NETCRT - a character display protocol, , August 1971, DOI 10.17487/RFC0205, R. Braden, 
RFC0206, A User TELNET Description of an Initial Implementation, , August 1971, DOI 10.17487/RFC0206, J. White, 
RFC0207, September Network Working Group meeting, RFC0212, August 1971, DOI 10.17487/RFC0207, A. Vezza, 
RFC0208, Address tables, , August 1971, DOI 10.17487/RFC0208, A. McKenzie, 
RFC0209, Host/IMP interface documentation, , August 1971, DOI 10.17487/RFC0209, B. Cosell, 
RFC0210, Improvement of Flow Control, , August 1971, DOI 10.17487/RFC0210, W. Conrad, 
RFC0211, ARPA Network Mailing Lists, RFC0300, August 1971, DOI 10.17487/RFC0211, J. North, 
RFC0212, NWG meeting on network usage, , August 1971, DOI 10.17487/RFC0212, , 
RFC0213, IMP System change notification, , August 1971, DOI 10.17487/RFC0213, B. Cosell, 
RFC0214, Network checkpoint, , August 1971, DOI 10.17487/RFC0214, E. Harslem, 
RFC0215, NCP ICP and Telnet: The Terminal IMP implementation, , August 1971, DOI 10.17487/RFC0215, A. McKenzie, 
RFC0216, Telnet Access to UCSB's On-Line System, , September 1971, DOI 10.17487/RFC0216, J. White, 
RFC0217, Specifications changes for OLS RJE/RJOR and SMFS, , September 1971, DOI 10.17487/RFC0217, J. White, 
RFC0218, Changing the IMP status reporting facility, , September 1971, DOI 10.17487/RFC0218, B. Cosell, 
RFC0219, User's View of the Datacomputer, , September 1971, DOI 10.17487/RFC0219, R. Winter, 
RFC0221, Mail Box Protocol: Version 2, RFC0278, August 1971, DOI 10.17487/RFC0221, R. Watson, 
RFC0222, Subject: System programmer's workshop, , September 1971, DOI 10.17487/RFC0222, R. Metcalfe, 
RFC0223, Network Information Center schedule for network users, , September 1971, DOI 10.17487/RFC0223, J. Melvin; R. Watson, 
RFC0224, Comments on Mailbox Protocol, , September 1971, DOI 10.17487/RFC0224, A. McKenzie, 
RFC0225, Rand/UCSB network graphics experiment, , September 1971, DOI 10.17487/RFC0225, E. Harslem; R. Stoughton, 
RFC0226, Standardization of host mnemonics, RFC0247, September 1971, DOI 10.17487/RFC0226, P. Karp, 
RFC0227, Data transfer rates (Rand/UCLA), , September 1971, DOI 10.17487/RFC0227, J. Heafner; E. Harslem, 
RFC0228, Clarification, , September 1971, DOI 10.17487/RFC0228, D. Walden, 
RFC0229, Standard host names, RFC0236, September 1971, DOI 10.17487/RFC0229, J. Postel, 
RFC0230, Toward reliable operation of minicomputer-based terminals on a TIP, , September 1971, DOI 10.17487/RFC0230, T. Pyke, 
RFC0231, Service center standards for remote usage: A user's view, , September 1971, DOI 10.17487/RFC0231, J. Heafner; E. Harslem, 
RFC0232, Postponement of network graphics meeting, , September 1971, DOI 10.17487/RFC0232, A. Vezza, 
RFC0233, Standardization of host call letters, , September 1971, DOI 10.17487/RFC0233, A. Bhushan; R. Metcalfe, 
RFC0234, Network Working Group meeting schedule, , October 1971, DOI 10.17487/RFC0234, A. Vezza, 
RFC0235, Site status, RFC0240, September 1971, DOI 10.17487/RFC0235, E. Westheimer, 
RFC0236, Standard host names, , September 1971, DOI 10.17487/RFC0236, J. Postel, 
RFC0237, NIC view of standard host names, RFC0273, October 1971, DOI 10.17487/RFC0237, R. Watson, 
RFC0238, Comments on DTP and FTP proposals, , September 1971, DOI 10.17487/RFC0238, R. Braden, 
RFC0239, Host mnemonics proposed in RFC 226 (NIC 7625), , September 1971, DOI 10.17487/RFC0239, R. Braden, 
RFC0240, Site Status, RFC0252, September 1971, DOI 10.17487/RFC0240, A. McKenzie, 
RFC0241, Connecting computers to MLC ports, , September 1971, DOI 10.17487/RFC0241, A. McKenzie, 
RFC0242, Data Descriptive Language for Shared Data, , July 1971, DOI 10.17487/RFC0242, L. Haibt; A. Mullery, 
RFC0243, Network and data sharing bibliography, RFC0290, October 1971, DOI 10.17487/RFC0243, A. Mullery, 
RFC0245, Reservations for Network Group meeting, , October 1971, DOI 10.17487/RFC0245, C. Falls, 
RFC0246, Network Graphics meeting, , October 1971, DOI 10.17487/RFC0246, A. Vezza, 
RFC0247, Proffered set of standard host names, , October 1971, DOI 10.17487/RFC0247, P. Karp, 
RFC0249, Coordination of equipment and supplies purchase, , October 1971, DOI 10.17487/RFC0249, R. Borelli, 
RFC0250, Some thoughts on file transfer, , October 1971, DOI 10.17487/RFC0250, H. Brodie, 
