NCC, Country, Company, 
02, Solomon Islands, bemobile, 
02, South Africa, Telkom, 
02, South Korea, olleh / KT, 
02, South Sudan, MTN, 
02, Spain, Alta Tecnologia en Comunicacions, 
02, Sri Lanka, Dialog, 
02, Sudan, MTN, 
02, Suriname, Telesur, 
02, Swaziland, Eswatini Mobile, 
02, Sweden, 3, 
02, Switzerland, Sunrise, 
02, Syria, MTN, 
02, Tajikistan, Tcell, 
02, Tanzania, Tigo / MIC, 
02, Tunisia, TT Mobile, 
02, Turkiye, Vodafone, 
02, Turkmenistan, TMCELL, 
02, Ukraine, Kyivstar, 
02, United Arab Emirates, Etisalat, 
02, United Kingdom, O2, 
02, Venezuela, Digitel, 
02, Vietnam, VinaPhone, 
02, Yemen, Spacetel, 
02, Zambia, MTN, 
020, Colombia, UNE, 
020, Mexico, Telcel, 
020, Panama, Movistar, 
020, United States of America, Union Wireless, 
03, Albania, ALBtelecom Mobile / Eagle, 
03, Algeria, Ooredoo, 
03, Andorra, Andorra Telecom / Mobiland, 
03, Antigua and Barbuda, imobile / APUA, 
03, Australia, Vodafone, 
03, Austria, T-Mobile / Magenta, 
03, Azerbaijan, FONEX, 
03, Bangladesh, Banglalink, 
03, Benin, MTN, 
03, Bolivia, Tigo, 
03, Bosnia and Herzegovina, Eronet, 
03, Brazil, TIM, 
03, Brunei, DST, 
03, Bulgaria, Vivacom, 
03, Burkina Faso, Telecel, 
03, Burundi, ONAMOB, 
03, Central African Republic, Orange, 
03, Chad, Moov, 
03, Chile, Claro, 
03, China, China Telecom, 
03, Costa Rica, Claro, 
03, Czech Republic, Vodafone, 
03, Denmark, Syniverse, 
03, East Timor, Telemor, 
03, Egypt, Etisalat, 
03, El Salvador, Tigo, 
03, Equatorial Guinea, Muni, 
03, Estonia, Tele2, 
03, Faroe Islands, Tosa, 
03, Finland, DNA, 
03, France, MobiquiThings, 
03, Gabon, Airtel, 
03, Gambia, Comium, 
03, Germany, Telefonica / O2, 
03, Ghana, Airtel, 
03, Greece, OTE, 
03, Guatemala, Movistar, 
03, Guinea-Bissau, Orange, 
03, Haiti, Natcom, 
03, Hong Kong, 3, 
03, Hungary, Digi, 
03, Iceland, Vodafone, 
03, India, Airtel, 
03, International Networks, Iridium, 
03, Ireland, Meteor, 
03, Israel, Pelephone, 
03, Ivory Coast, Orange, 
03, Jordan, Umniah, 
03, Kenya, Airtel, 
03, Kuwait, Ooredoo, 
03, Kyrgyzstan, Fonex, 
03, Laos, Unitel, 
03, Latvia, TRIATEL, 
03, Lebanon, Touch, 
03, Libya, LibyaPhone Mobile, 
03, Lithuania, Tele2, 
03, Macao, 3, 
03, Mali, Telecel, 
03, Mauritius, Chili, 
03, Mexico, Movistar, 
03, Moldova, Unite, 
03, Montenegro, Mtel, 
03, Mozambique, Movitel, 
03, Myanmar, MecTel, 
03, Namibia, TN Mobile, 
03, Nepal, Hello Nepal, 
03, Netherlands, Voiceworks Mobile, 
03, Niger, Moov, 
03, North Macedonia, A1, 
03, Oman, Ooredoo / Nawras, 
03, Pakistan, Ufone, 
03, Panama, Claro, 
03, Papua New Guinea, Digicel, 
03, Paraguay, Personal, 
03, Philippines, Smart, 
03, Poland, Orange, 
03, Portugal, NOS, 
03, Reunion, Only, 
03, Romania, Telekom, 
03, Saint Pierre and Miquelon, Ameris, 
03, Saudi Arabia, Mobily, 
03, Senegal, Expresso, 
03, Serbia, MTS, 
03, Sierra Leone, Africell, 
03, Singapore, M1, 
03, Slovakia, Swan / 4ka, 
03, Spain, Orange, 
03, Sudan, MTN, 
03, Suriname, Digicel, 
03, Sweden, Net 1, 
03, Switzerland, Salt Mobile, 
03, Taiwan, Far EasTone, 
03, Tajikistan, Megafon, 
03, Tanzania, Zanzibar Telecom / Zantel, 
03, Thailand, AIS, 
03, Togo, Atlantique Telecom / Moov, 
03, Tunisia, Ooredoo, 
03, Turkiye, Avea, 
03, Ukraine, Kyivstar, 
03, United Arab Emirates, DU, 
03, United Kingdom, Jersey Airtel, 
03, Uzbekistan, UzMobile, 
03, Yemen, Yemen Mobile, 
03, Zambia, Zamtel, 
03, Zimbabwe, Telecel, 
030, Antigua and Barbuda, imobile / APUA, 
030, Honduras, HonduTel, 
030, Mexico, Movistar, 
030, United States of America, AT&T Mobility, 
031, Argentina, Claro, 
034, Argentina, Personal, 
035, United States of America, ETEX, 
04, Angola, MoviCel, 
04, Armenia, KT, 
04, Austria, T-Mobile / Magenta, 
04, Azerbaijan, Nar Mobile, 
04, Bahrain, VIVA, 
04, Bangladesh, TeleTalk, 
04, Belarus, life:), 
04, Belgium, Proximus, 
04, Botswana, beMobile, 
04, Brazil, TIM, 
04, Cambodia, QB, 
04, Cameroon, Nextel, 
04, Central African Republic, Azur, 
04, Chad, Salam, 
04, Chile, WOM, 
04, China, China Mobile, 
04, Costa Rica, Movistar, 
04, Czech Republic, Nordic Telecom, 
04, Denmark, Nexcon.io, 
04, Dominican Republic, Viva, 
04, Egypt, WE, 
04, El Salvador, Movistar, 
04, Estonia, TravelSim, 
04, Finland, DNA, 
04, Gambia, QCell, 
04, Georgia, Beeline, 
04, Germany, Vodafone, 
04, Greece, OSE, 
04, Guadeloupe and Martinique and French Guiana, Free, 
04, Guinea, MTN, 
04, Hong Kong, 3, 
04, Iceland, Viking Wireless, 
04, India, Idea, 
04, Kenya, Mobile Pay, 
04, Kuwait, Viva, 
04, Latvia, Tet, 
04, Liberia, Novafone, 
04, Macao, CTM, 
04, Madagascar, Telma, 
04, Mozambique, Vodacom, 
04, Nepal, Smart, 
04, Netherlands, Vodafone, 
04, Niger, Orange, 
04, North Macedonia, Lycamobile, 
04, Pakistan, Zong, 
04, Panama, Digicel, 
04, Paraguay, Tigo, 
04, Poland, Aero2, 
04, Portugal, Lycamobile, 
04, Reunion, ZEOP Mobile, 
04, Saudi Arabia, Zain, 
04, Senegal, HAYO, 
04, Sierra Leone, Comium, 
04, Slovakia, Telekom, 
04, Somalia, Somafone, 
04, South Korea, olleh / KT, 
04, Spain, Yoigo, 
04, Sweden, Telenor, 
04, Tajikistan, Babilon-Mobile, 
04, Tanzania, Vodacom, 
04, Thailand, TrueMove H, 
04, Turkiye, Avea, 
04, Uganda, Lycamobile, 
04, Ukraine, IT, 
04, United Kingdom, FMS Solutions, 
04, Uzbekistan, Beeline, 
04, Venezuela, Movistar, 
04, Vietnam, Viettel, 
04, Yemen, Y, 
04, Zimbabwe, Econet, 
05, Armenia, Viva-MTS, 
05, Austria, 3, 
05, Bahrain, Royal Court, 
05, Belgium, Telenet, 
05, Bosnia and Herzegovina, m:tel, 
05, Brazil, Claro, 
05, Bulgaria, Telenor, 
05, Cambodia, Smart, 
05, Chile, WOM, 
05, Czech Republic, PODA, 
05, Democratic Republic of Congo, Supercell, 
05, El Salvador, RED, 
05, Finland, Elisa, 
05, Germany, Telefonica / O2, 
05, Ghana, National Security, 
05, Greece, Vodafone, 
05, Guinea, Cellcom, 
05, Hong Kong, 3, 
05, India, Vodafone, 
05, International Networks, Thuraya RMSS, 
05, Iraq, Asia Cell, 
05, Ireland, 3, 
05, Ivory Coast, MTN, 
05, Japan, SoftBank, 
05, Kenya, Airtel, 
05, Kyrgyzstan, MegaCom, 
05, Latvia, Bite, 
05, Liechtenstein, FL1, 
05, Lithuania, LTG, 
05, Luxembourg, Luxembourg Online, 
05, Macao, 3, 
05, Moldova, Unite, 
05, Morocco, inwi, 
05, Myanmar, Ooredoo, 
05, Netherlands, ElephantTalk, 
05, New Zealand, Spark Mobile, 
05, Norway, Network Norway, 
05, Pakistan, SCO Mobile, 
05, Palestinian Territory, Jawwal, 
05, Paraguay, Personal, 
05, Philippines, Sun Cellular, 
05, Poland, Orange, 
05, Romania, Digi Mobil, 
05, Saint Lucia, Digicel, 
05, Saudi Arabia, Virgin Mobile, 
05, Serbia, VIP, 
05, Seychelles, Intelvision, 
05, Sierra Leone, Africell, 
05, Singapore, Starhub, 
05, Slovakia, Orange, 
05, South Africa, Telkom, 
05, South Korea, SK Telecom, 
05, Spain, Movistar, 
05, Sri Lanka, Airtel, 
05, Sweden, Tele2, 
05, Switzerland, Comfone, 
05, Taiwan, APT, 
05, Tajikistan, Zet-Mobile, 
05, Tanzania, Airtel, 
05, Thailand, dtac TriNet, 
05, Uzbekistan, Ucell, 
05, Vanuatu, Digicel, 
05, Vietnam, Vietnamobile, 
050, Barbados, Digicel, 
050, Cayman Islands, Digicel, 
050, Dominica, Digicel, 
050, Grenada, Digicel, 
050, Jamaica, Digicel, 
050, Mexico, AT&T / IUSACell, 
050, Saint Kitts and Nevis, Digicel, 
050, Saint Lucia, Digicel, 
050, Saint Vincent and the Grenadines, Digicel, 
050, Turks and Caicos Islands, Digicel, 
06, Australia, Vodafone, 
06, Azerbaijan, Naxtel, 
06, Belgium, Lycamobile, 
06, Brazil, Vivo, 
06, Cambodia, Smart, 
06, Chile, INNET, 
06, China, China Unicom, 
06, Denmark, 3, 
06, Finland, Elisa, 
06, Germany, T-mobile, 
06, Ghana, Airtel, 
06, Hong Kong, SmarTone, 
06, India, Airtel, 
06, Italy, Vodafone, 
06, Kenya, Finserve Africa, 
06, Kyrgyzstan, KT Mobile, 
06, Liechtenstein, CUBIC, 
06, Lithuania, Mediafon, 
06, Macao, SmarTone, 
06, Myanmar, Telenor, 
06, Netherlands, Vectone Mobile, 
06, New Zealand, Skinny Mobile, 
06, Norway, ICE, 
06, Pakistan, Telenor, 
06, Palestinian Territory, Ooredoo, 
06, Peru, Movistar, 
06, Poland, Play, 
06, Portugal, MEO, 
06, Qatar, Ooredoo, 
06, Saudi Arabia, Lebara Mobile, 
06, Singapore, Starhub, 
06, Slovakia, O2, 
06, South Korea, LG U+, 
06, South Sudan, Zain, 
06, Spain, Vodafone, 
06, Sudan, Zain, 
06, Switzerland, SBB, 
06, Tunisia, Lycamobile, 
06, Ukraine, lifecell, 
06, Uzbekistan, Perfectum Mobile, 
06, Venezuela, Movilnet, 
06, Vietnam, Viettel, 
060, Mexico, SAI PCS, 
07, Australia, Vodafone, 
07, Austria, Ventocom, 
07, Bangladesh, Airtel, 
07, Belgium, Vectone Mobile, 
07, Burundi, Smart, 
07, Chile, Movistar, 
07, China, China Mobile, 
07, Congo, Warid, 
07, Czech Republic, T-Mobile, 
07, Finland, NSN, 
07, Georgia, GlobalCell, 
07, Germany, Telefonica / O2, 
07, Ghana, Glo, 
07, Hong Kong, China Unicom, 
07, India, Idea, 
07, Ireland, Meteor, 
07, Israel, Hot Mobile, 
07, Italy, Noverca Italia, 
07, Kazakhstan, Altel, 
07, Kenya, Telkom, 
07, Kosovo, D3 mobile, 
07, Liberia, Orange, 
07, Macao, China Telecom, 
07, Netherlands, Move / Teleena, 
07, Pakistan, Jazz, 
07, Peru, Entel, 
07, Poland, Netia, 
07, Sierra Leone, Qcell, 
07, Singapore, SingTel, 
07, Slovakia, Orange, 
07, South Africa, Cell C, 
07, South Korea, KT Powertel, 
07, Spain, Movistar, 
07, Sudan, Sudani One, 
07, Sweden, Tele2, 
07, Switzerland, Sunrise, 
07, Tanzania, Tanzania Telecommunication Corporation, 
07, Ukraine, 3Mob, 
07, United Kingdom, Vodafone, 
07, Uruguay, Movistar, 
07, Uzbekistan, UMS, 
07, Vietnam, Gmobile, 
070, Argentina, Movistar, 
070, Saint Kitts and Nevis, Chippie, 
070, Saint Vincent and the Grenadines, Digicel, 
