DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 267-28, "Fasteners - Part 28: Technical specifications; Steel screws, bolts and studs with locking coating", Active, , , 
DIN 267-29, "Fasteners - Part 29: Technical specifications; Product grades for parts for bolted connections for use at temperatures ranging from −200 °C to +700 °C", Withdrawn, , , 
DIN 267-30, "Fasteners - Part 30: Technical specifications; Metric thread rolling screws of property class 10.9", Active, , , 
DIN 276-1, "Building costs; Part 1: Building construction", Active, , , 
DIN 276-2, "Building costs; Part 2: Classification of cost", Withdrawn, , , 
DIN 276-3, "Building costs; Part 3: Ascertainment of cost", Withdrawn, , , 
DIN 332-1, "60° centre holes; types R, A, B, and C", Active, , , 
DIN 332-2, "Center holes 60° with thread for shaft ends for rotating electrical machines", Active, , , 
DIN 332-10, "Center Holes; Indications on Technical Drawings", Withdrawn, DIN ISO 6411, ISO 6411, 
DIN 332-8, "Centre holes 90°, form S; dimensions, determination process", Active, , , 
DIN 332-4, "Centre holes for rail vehicles axles", Active, , , 
DIN 317, "Drill drifts for taper shanks with drift tang", Active, , , 
DIN 374, "Machine screwing taps for fine pitch metric ISO-threads M3 × 0,2 to M52 × 4", Active, , , 
DIN 371, "Machine taps with reinforced shank for coarse pitch metric ISO-threads M1 to M10 and fine pitch metric ISO-threads M1 × 0,2 to M10 × 1,25", Active, , , 
DIN 332-7, "Machine tools; 60° centre holes; dimensioning", Active, , , 
DIN 338, "Parallel shank twist drills, jobber series", Active, , , 
DIN 323-1, "Preferred Numbers and Series of Preferred Numbers; Basic Values, Calculated Values, Rounded Values", Withdrawn, , , 
DIN 323-2, "Preferred Numbers and Series of Preferred Numbers; Introduction", Active, , , 
DIN 352, "Sets of taps - Sets of 3 taps for metric coarse ISO-threads M1 to M68", Active, , , 
DIN 315, "Wing nuts with rounded wings", Active, , , 
DIN 316, "Wing screws with rounded wings", Active, , , 
DIN 404, "Slotted capstan screws", Active, , , 
DIN 406-10, "Engineering drawing practice; dimensioning; concepts and general principles", Active, , , 
DIN 406-11, "Engineering drawing practice; dimensioning; principles of application", Active, , , 
DIN 406-12, "Engineering drawing practice; dimensioning; tolerancing of linear and angular dimensions (modified version of ISO 406:1987)", Active, , , 
DIN 417, "Slotted set screws with long dog point", Withdrawn, DIN EN 27435, ISO 7435, 
DIN 427, "Slotted headless screws with chamfered end", Withdrawn, DIN EN ISO 2342, ISO 2342, 
DIN 428, "Hexagon nuts, Grade C", Withdrawn, DIN EN ISO 4034, ISO 4034, 
DIN 433, "Washers for use with cheese head screws", Withdrawn, DIN EN ISO 7092, ISO 7092, 
DIN 433-1, "Product grade A washers - with a hardness up to 250 HV designed for use with cheese head screws", Withdrawn, DIN EN ISO 7092, ISO 7092, 
DIN 433-2, "Product grade A washers - with a hardness up to 300 HV designed for use with cheese head screws", Withdrawn, DIN EN ISO 7092, ISO 7092, 
DIN 438, "Slotted set screws with cup point", Withdrawn, DIN EN 27436, ISO 7436, 
DIN 439, "Hexagon thin nuts", Withdrawn, DIN EN ISO 4035; DIN EN ISO 4036; DIN EN ISO 8675, ISO 4035; ISO 4036;ISO 8675, 
DIN 439-1, "Unchamfered hexagon thin nuts - Product grade B", Withdrawn, DIN EN ISO 4036, ISO 4036, 
DIN 439-2, "Chamfered hexagon thin nuts - Product grades A and B", Withdrawn, DIN EN ISO 4035; DIN EN ISO 8675, ISO 4035; ISO 8675, 
DIN 440, "Washers for use in timber constructions", Withdrawn, DIN EN ISO 7094, ISO 7094, 
DIN 444, "Eyebolts", Active, , , 
DIN 461, "Graphical Representation in Systems of Coordinates", Active, , , 
DIN 462, "Machine Tools; Internal Tab Washers for Slotted Round Nuts for Hook Spanner according to DIN 1804", Active, , , 
DIN 464, "Knurled thumb screws, high type", Active, , , 
DIN 466, "Knurled nuts, high type", Active, , , 
DIN 467, "Knurled nuts, low type", Active, , , 
DIN 471, "Circlips (retaining rings) for shafts; Normal type and heavy type", Active, , , 
DIN 472, "Circlips (retaining rings) for internal grooves; Normal type and heavy type", Active, , , 
DIN 476, "Paper sizes", Withdrawn, DIN EN ISO 216, ISO 216, 
DIN 476-2, "Trimmed Sizes of Paper - C Series", Active, , , 
DIN 477-1, "Gas cylinder valves for cylinder test pressures up to 300 bar - Part 1: Valve inlet and outlet connections", Active, , , 
DIN 479, "Square head bolts with short dog point", Active, , , 
DIN 522, "Metal washers; technical delivery conditions", Withdrawn, DIN EN ISO 4759-3, ISO 4759-3, 
DIN 548, "Round nuts with set pin holes in side", Active, , , 
DIN 551, "Slotted set screws with flat point", Withdrawn, DIN EN 24766, ISO 4766, 
