DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 14027, "Corporate Security - Requirements for strengthening the physical resilience of organizations ", Active", , , 2026-04 
DIN 14090, "Areas for the fire brigade on premises", Active, , , 
DIN 14096-1, "Fire precaution regulation - Part 1: General and part A (placard); rules for drafting and placarding", Active, , , 
DIN 14096-2, "Fire precaution regulation - Part 2: Part B (for persons without special tasks of fire prevention and fire fighting); rules for drafting", Active, , , 
DIN 14096-3, "Fire precaution regulation - Part 3: Part C (for persons with special tasks of fire prevention and fire fighting); rules for drafting", Active, , , 
DIN 14210, "Water pool for firefighting", Active, , , 
DIN 14236, "Ultrasonic domestic gas meters", Active, , , 
DIN 14406-4, "Portable fire extinguishers - Part 4: Maintenance", Active, , , 
DIN 14503, "Trailers for firefighting purposes, two-wheeled; general requirements", Withdrawn, DIN 14521, , 
DIN 14505, "Firefighting and rescue service vehicles - Vehicles for roller containers - General requirements", Active, , , 
DIN 14507, "Rescue service vehicles - Vehicles for roller containers - General requirements", Active, , , 
DIN 14520, "Trailers for portable fire pumps", Withdrawn, , , 
DIN 14521, "Firefighting - Trailer with removable foam-water monitor", Active, , , 
DIN 14530-5, "Fire fighting vehicles - Part 5: Group pumping appliance LF 10/6, Group pumping appliance for rescue operations HLF 10/6", Active, , , 
DIN 14530-11, "Fire fighting vehicles - Part 11: Group pumping appliance LF 20/16, Group pumping appliance for rescue operations HLF 20/16", Active, , , 
DIN 14530-16, "Fire fighting vehicles - Part 16: Pumping appliance TSF", Active, , , 
DIN 14530-17, "Fire fighting vehicles - Part 17: Pumping appliance TSF-W", Active, , , 
DIN 14530-21, "Fire fighting vehicles - Part 21: Pump water tanker TLF 20/40, Pump water tanker TLF 20/40-SL", Active, , , 
DIN 14530-22, "Fire fighting vehicles - Part 22: TLF 16/24-TR", Active, , , 
DIN 14530-24, "Fire fighting vehicles - Part 24: Small pumping appliance KLF", Active, , , 
DIN 14530-25, "Fire fighting vehicles - Part 25: Pumping appliance STLF 10/6", Active, , , 
DIN 14555-1, "Vehicles carrying tools and gears - Part 1: General requirements", Active, , , 
DIN 14555-3, "Vehicles carrying tools and gears - Part 3: Emergency tender RW", Active, , , 
DIN 14555-12, "Vehicles carrying tools and gears - Part 12: Damage control tender GW-G", Active, , , 
DIN 14555-21, "Vehicles carrying tools and gears - Part 21: GW-L1 for logistic tasks", Active, , , 
DIN 14555-22, "Vehicles carrying tools and gears - Part 22: GW-L2 for logistic tasks", Active, , , 
DIN 14565, "Fire hose tender; Type SW 2000-TR", Withdrawn, , , 
DIN 14701-1, "Turntable ladders and similar fire fighting vehicles; Purpose, concepts, safety equipment, requirements", Withdrawn, DIN EN 1777, EN 1777, 
DIN 14701-2, "Turntable ladders and similar fire fighting vehicles; Turn table ladders, engine driven", Withdrawn, DIN EN 14043; DIN EN 14044, EN 14043; EN 14044, 
DIN 14701-3, "Turntable ladders and similar fire fighting vehicles; Rescue baskets", Withdrawn, DIN EN 1777, EN 1777, 
DIN 14702, "Turntable ladder DL 16-4, hand operating", Active, , , 
DIN 14703, "Trailer Ladder AL 16-4", Active, , , 
DIN 14710-1, "Hook ladder, manufactured using wood; with hinged hook", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14710-3, "Hook light metal ladder", Withdrawn, , , 
DIN 14711-1, "Scaling ladder; made from wood", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14711-2, "Scaling ladder; made from light metal", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14711-3, "Scaling ladder; socket rungs and socket parts", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14713, "Folding ladder", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14715-1, "Three piece extension ladder made from wood", Withdrawn, DIN EN 1147, EN 1147, 
DIN 14715-2, "Three piece extension ladder; made of light metal", Withdrawn, DIN EN 1147, EN 1147, 
DIN 15018-2, "Cranes; steel structures; principles of design and construction", Active, , , 
DIN 15185-1, "Warehouse systems with guided industrial trucks; requirements on the ground, the warehouse and other requirements", Active, , , 
DIN 15185-2, "Warehousesystems with powered industrials trucks; code of practice for the protection of persons when operating with trucks in narrow aisles; safety requirements, testing", Active, , , 
DIN 15721, "Film 70 mm; projection reel", Active, , , 
DIN 16518, "Classification of types", Active, , , 
DIN 16892, "Cross-linked high-density polyethylene (PE-X) pipes - General quality requirements and testing", Active, , , 
DIN 16893, "Cross-linked high-density polyethylene (PE-X) pipes - Dimensions", Active, , , 
DIN 17175, "Seamless Tubes of heat Resistant Steels", Withdrawn, DIN EN 10216-2, , 
DIN 17200, "Steels For Quenching And Tempering - Technical Delivery Conditions", Superseded, DIN 10083-1DIN 10083-2DIN 10083-3, , 
DIN 17240, "Heat Resisting and Highly Heat Resisting Materials for Bolts and Nuts; Quality Specifications", Withdrawn, DIN EN 10269, , 
DIN 17410, "Materials for permanent magnets: Technical conditions", Active, , , 
DIN 17457, "", Withdrawn, DIN EN 10217-7, , 
DIN 17458, "", Withdrawn, DIN EN 10216-5, , 
DIN 17471, "Resistance alloys", Active, , , 
DIN 18012, "House service connections facilities - Principles for planning", Active, , , 
DIN 18013, "Recesses for meter boards (electric meters)", Active, , , 
DIN 18014, "Foundation earth electrode - General planning criteria", Active, , , 
DIN 18015-1, "Electrical installations in residential buildings - Part 1: Planning principles", Active, , , 
DIN 18015-2, "Electrical installations in residential buildings - Part 2: Nature and extent of minimum equipment", Active, , , 
DIN 18015-3, "Electrical installations in residential buildings - Part 3: Wiring and disposition of electrical equipment", Active, , , 
DIN 18022, "Domestic kitchens, bathrooms and WCs; design principles", Withdrawn, , , 
DIN 18024-1, "Barrier-free built environment - Part 1: Streets, squares, paths, public transport, recreation areas and playgrounds - Design principles", Active, , , 
DIN 18024-2, "Construction of accessible buildings - Part 2: Publicly accessible buildings and workplaces, design principles", Active, , , 
DIN 18065, "Stairs in buildings - Terminology, measuring rules, main dimensions", Active, , , 
DIN 18379, "Construction contract procedures (VOB) - Part C: General technical specifications in construction contracts (ATV) - Installation of air conditioning systems", Active, , , 
DIN 18382, "Contract procedures for building works - Part C: General technical specifications for building works; Low-voltage installation and medium-voltage installation with nominal voltages up to including 36 kV", Active, , , 
DIN 18384, "Construction contract procedures (VOB) - Part C: General technical specifications in construction contracts (ATV); Installation of lightning protection systems", Active, , , 
DIN 18800-1, "Steel structures - Part 1: Design and construction", Withdrawn, DIN EN 1993DIN EN 1090, , 
DIN 18800-2, "Steel structures - Part 2: Analysis of safety against buckling of linear members and frames", Withdrawn, DIN EN 1993, , 
DIN 18800-3, "Steel structures - Part 3: Analysis of safety against buckling of plates", Withdrawn, DIN EN 1993, , 
DIN 18800-4, "Steel structures - Part 4: Analysis of safety against buckling of shells", Withdrawn, DIN EN 1993, , 
DIN 18800-5, "Steel structures - Part 5: Composite structures of steel and concrete - Design and construction", Withdrawn, DIN EN 1994, , 
DIN 18800-7, "Steel structures - Part 7: Execution and constructor's qualification", Active, , EN 1090-2, 
DIN V 19222, "Control technology - Terminology", Active, , , 
DIN 19225, "Measurement and control; terminology and classification of controllers", Active, , , 
DIN 19226-1, "Control technology - Part 1: General terms and definitions", Active, , , 
DIN 19226-2, "Control technology - Part 2: Terms and definitions; dynamic systems behaviour", Active, , , 
DIN 19226-3, "Control technology - Part 3: Terms and definitions of switching systems behaviour", Active, , , 
DIN 19226-4, "Control technology - Part 4: Terms and definitions of control systems", Active, , , 
DIN 19226-5, "Control technology - Part 5: Functional terms", Active, , , 
DIN 19226-6, "Control technology - Part 6: Terms and definitions of functional and constructional units", Active, , , 
DIN 19227-1, "Control technology; graphical symbols and identifying letters for process control engineering; symbolic representation for functions", Active, , , 
DIN 19227-2, "Control technology; graphical symbols and identifying letters for process control engineering; representation of details", Active, , , 
DIN 19237, "Measurement and control; control engineering vocabulary", Withdrawn, DIN 19226-3; DIN 19226-4;DIN 19226-5; DIN 19226-6, , 
DIN 19227-1, "Control technology; graphical symbols and identifying letters for process control engineering; symbolic representation for functions", Withdrawn, DIN EN 62424, , 
DIN 19227-2, "Control technology; graphical symbols and identifying letters for process control engineering; representation of details", Active, , , 
DIN 19533, "Pipe-lines of high-density PE (high-density polyethylene) and low-density PE (low-density polyethylene) for drinking water supply; pipes, pipe connections and fittings for pipe-lines", Withdrawn, DIN EN 12201-1;DIN EN 12201-2;DIN EN 12201-3;DIN EN 12201-5, EN 12201-1;EN 12201-2;EN 12201-3;EN 12201-5, 
DIN 19704-1, "Hydraulic steel structures - Part 1: Criteria for design and calculation", Active, , , 
DIN 19704-2, "Hydraulic steel structures - Part 2: Design and manufacturing", Active, , , 
DIN 19704-3, "Hydraulic steel structures - Part 3: Electrical equipment", Active, , , 
DIN 20066, "Fluid technology - hose lines, dimensions, specifications", , , , 
DIN 20163, "Explosives work", , , , 
DIN 21800, "Hammer and pick signs (mining symbol)", , , , 
DIN 21908, "Mining crevice work; colours", , , , 
DIN 22101, "Conveyor belt for bulk material, fundamentals, analysis and design", , , , 
DIN 22107, "Arrangements for belt conveyor rollers", , , , 
DIN 22112, "Rollers: dimensions, specifications, testing", , , , 
DIN 23307, "Seat leathers for the mining industry (miner's apron)", , , , 
DIN 23342, "Clothing for the mining industry - men's vest with 1/4 sleeves", , , , 
DIN 23345, "Clothing for the mining industry - men's underpants 1/1 length (Long Johns)", , , , 
DIN 24190, "Ventilation and air conditioning - folded and welded rectangular sheet metal ducts", Withdrawn, , , 
DIN 24271-1, "Centralised lubrication systems - Concepts - Part 1: Classification", Active, , , 
DIN 24340-2, "Hydraulic valves; mounting surfaces and connecting plates for directional control valves", Active, , , 
DIN 24537, "Welding, Warping valves; Steel Grating Floor Standard control valves", Active, , , 
DIN 28610-1, "Ductile iron pressure pipes with socket with cement-mortar lining for gas and water pipelines; dimensions and masses", Withdrawn, DIN EN 545; DIN EN 969, EN 545; EN 969, 
DIN 28610-2, "Ductile iron pressure pipes with socket for gas and water pipelines rated for pressures over 4 bar up to and including 16 bar; dimensions and masses", Withdrawn, DIN EN 969, EN 969, 
DIN 30722-1, "Roller contact tipper vehicles, roller containers - Part 1: Roller contact tipper vehicles up to 26 t, roller containers type 1570 made from steel", Active, , , 
DIN 30722-2, "Roller contact tipper vehicles, roller containers - Part 2: Roller contact tipper vehicles up to 32 t, roller containers type 1570 made from steel", Active, , , 
DIN 30722-3, "Roller contact tipper vehicles, roller containers - Part 3: Roller contact tipper vehicles up to 12 t, roller containers type 900 made from steel", Active, , , 
DIN 30722-4, "Roller containers for the transport on road and rail", Active, , , 
DIN 31635, "Conversion of the Arabic alphabet", Active, , , 
DIN 32676, "Tri-Clamp Fittings", Active, , , 
DIN 40015, "Frequency and wave bands", Active, , , 
DIN 40020, "Guidelines for the user interface in multimedia equipment for general purpose use (IEC/TR 61997:2001)", Active, , , 
DIN 40050-9, "Road vehicles; degrees of protection (IP-code); protection against foreign objects; water and contact; electrical equipment", Active, , , 
DIN 40101-1, "Graphical symbols for use on equipment", Withdrawn, , , 
DIN 40101-2, "Graphical symbols for use on equipment; graphical symbols from ISO 7000 for electrical engineering", Active, , , 
DIN 40108, "Electric power technology - Current systems - Concepts, quantities, letter symbols", Active, , , 
DIN 40110-1, "Quantities used in alternating current theory - Part 2: Two-line circuits", Active, , , 
DIN 40110-2, "Quantities used in alternating current theory - Part 2: Multi-line circuits", Active, , , 
DIN 40146-1, "Telecommunications - Part 1: Basic concepts", Active, , , 
DIN 40148-1, "Transmission systems and two-ports; concepts and quantities", Active, , , 
DIN 40148-2, "Transmission systems and two-ports; symmetry characteristics of linear two-ports", Active, , , 
DIN 40148-3, "Transmission systems and two-ports; measures for attenuation", Active, , , 
DIN 40200, "Nominal value, limiting value, rated value, rating - concepts", Active, , , 
DIN 41215, "Electrical communication engineering; electromagnetic relays, definitions", Withdrawn, , , 
DIN 41301, "Electro Sheets; Magnetic Materials for Transformers", Withdrawn, , , 
DIN 41309-1, "Small transformers and chokes; strip-wound cut cores; types SM, SE, SU, SG and S3U; dimensions materials", Withdrawn, , , 
DIN 41309-2, "Small transformers and chokes; strip-wound cut cores; technical conditions of delivery for one phase applications; types SM, SE, SU and SG", Withdrawn, , , 
DIN 41309-3, "Small transformers and chokes; strip-wound cut cores; technical conditions of delivery for three phase applications; type S3U", Withdrawn, , , 
DIN 41426, "Nominal values of resistors and capacitors", Withdrawn, DIN IEC 60063, IEC 60063, 
DIN 41429, "Colour code for fixed resistors", Withdrawn, DIN EN 60062, EN 60062, 
DIN 41524, "Circular connectors for radio and associated sound equipment three and five-pole connectors", Withdrawn, , , 
DIN 41529, "Connectors for loudspeakers", Withdrawn, , , 
DIN 41612-1, "Two-part connectors for printed board, grid 2,54 mm; common mounting features; survey of types", Withdrawn, DIN 41612-1 S1, , 
DIN 41612-1 S1, "Two piece connectors for printed circuits, grid 2,54 mm (0,1 in); general allusions", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-2, "Two-part connectors for printed boards; grid 2,54mm; dimensions of types B, C and D", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-3, "Two part connectors for printed boards; grid 2,54mm; dimensions of types F and G", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-4, "Two-part connectors for printed boards; grid 2,54mm, dimensions of type H", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-5, "Two-part connectors for printed boards; grid 2,54mm; ratings, requirements, tests", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-6, "Two-part connection for printed boards; grid 2.54mm; dimensions of types Q, R and S", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-7, "Two-part connectors for printed boards; grid 2,54 mm; dimensions of types U and V", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-8, "Two-part connectors for printed boards; grid 2.54 mm; dimensions of type M", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-8 S1, "Two-part connectors for printed boards; grid 2.54 mm; dimensions of type M; survey of special contracts for use with type M", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-9, "Two-part connectors for printed boards; grid 2,54 mm; dimensions of type E", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-10, "Two-part connectors for printed boards; grid 2,54mm; gauges", Withdrawn, DIN EN 60603-2, EN 60603-2, 
DIN 41612-102, "Two-part connectors for printed boards; dimensions for type X", Withdrawn, DIN 41612-9, , 
DIN 41612-103, "Two-part connectors for printed boards; dimensions of type M", Withdrawn, DIN 41612-8, , 
DIN 41652-1, "Rack and panel connectors, trapezoidal, round contacts 1 mm; common mounting features and dimensions; survey of types", Active, , , 
DIN 41652-2, "Rack and panel connectors; trapezoidal, round contacts 1 mm; ratings, requirements, tests", Active, , , 
DIN 41750-1, "Rack and panel connectors, trapezoidal, round contacts ø1 mm; common mounting features and dimensions; survey of types", Active, , , 
DIN 41750-2, "Rack and panel connectors, trapezoidal, round contacts ø1 mm; ratings, requirements, tests", Active, , , 
DIN 41750-3, "Rack and panel connectors, trapezoidal, round contacts ø1 mm; dimensions of type A; solder termination for free wiring", Active, , , 
DIN 41750-5, "Rack and panel connectors, trapezoidal, round contacts ø1 mm; dimensions of type C; crimp termination for free wiring", Active, , , 
DIN 41782, "Guidelines for the presentation of published data", Withdrawn, DIN IEC 60747-2, IEC 60747-2, 
DIN 41786, "Thyristors, definitions", Withdrawn, , , 
DIN 41855, "Semiconductor devices and integrated circuits; kinds of devices and general terms", Withdrawn, , , 
DIN 41855-2, "Semiconductor devices and integrated circuits; optoelectronic semiconductor devices; terms and definitions", Withdrawn, , , 
DIN 41868, "Cases 10 A 3 and 10 B 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-1, "Case 23 A 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-2, "Cases 34 A 2 and 34 A 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-3, "Case 11 A 3 and 11 B 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-4, "Case 12 A 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-5, "Case 13 A 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-6, "Case 14 A 3 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41869-7, "Case type 15 for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 41873, "Cases type 5 for semiconductor devices and integrated circuits", Withdrawn, , , 
DIN 41876, "Cases 18 A, B and C with 2 up to 4 terminals for semiconductor devices; main dimensions", Withdrawn, , , 
DIN 42400, "Terminal markings for electrical equipment; general rules, alphanumeric system", Withdrawn, DIN EN 60445, EN 60445, 
DIN 42402, "Terminal markings for power transformers and reactors", Active, , , 
DIN 42403, "Terminal markings for power converters", Withdrawn, DIN IEC 61148, IEC 61148, 
DIN 42673-1, "Totally enclosed fan-cooled three-phase induction motors squirrel-cage, type IM B 3, with rolling bearing; mounting dimensions and relationship frame sizes-output ratings", Withdrawn, , , 
DIN 42673-2, "Totally enclosed fan-cooled three-phase induction motors with squirrel-cage, type IM B 3, with rolling bearings; relationship frame sizes - output ratings for type of protection increased safety 'e'", Active, , , 
DIN 42673-3, "Totally enclosed fan-cooled three-phase induction motors with squirrel-cage, type IM B 3, with rolling bearings; relationship frame sizes - output ratings for type of protection flameproof enclosure 'd'", Active, , , 
DIN 42673-4, "Totally enclosed fan-cooled alternating-current polyphase motors with squirrel-cage, design B3, with ball bearings, maximum envelope dimensions", Active, , , 
DIN 42802, "Touch-protected connector for electromedicine", Active, , , 
DIN 42961, "Rating plates for rotating electrical machinery; design", Active, , , 
DIN 42973, "Rated output values for rotating electrical machinery for continuous duty", Active, , , 
DIN 43700, "Measurement and control - Measurement and control instruments for panel mounting - Nominal front- and cut-out-dimensions", Withdrawn, DIN IEC 61554, IEC 61554, 
DIN 43780, "Electrical measuring instruments; direct acting indicating electrical measuring instruments and their accessories", Withdrawn, DIN EN 60051-1, EN 60051-1, 
DIN 43802-2, "Line scales and pointers for indicating electrical measuring instruments; general requirements", Active, , , 
DIN 43802-3, "Line scales and pointers for indicating electrical measuring instruments; designs and dimensions", Active, , , 
DIN 43802-4, "Line scales and pointers for indicating electrical measuring instruments; scale graduation and numbering", Active, , , 
DIN 43807, "Measuring and control; electrical measuring instruments; terminal markings for switchboard meters, panel meters and measuring transducers for the measurement of power and power factor", Active, , , 
DIN 43856, "Electricity meters, tariff time switches and ripple control receivers; connection diagrams, terminal marking, circuit diagrams", Active, , , 
DIN 43856-2, "Electricity meters - Part 2: Marking of auxiliary terminals for tariff devices according to IEC-Report 61354:1995", Active, , , 
DIN 43870-1, "Meter mounting boards; dimensions based on a grid system", Active, , , 
DIN 43870-2, "Meter mounting boards; functional area", Active, , , 
DIN 43870-3, "Meter panels; wirings", Active, , , 
DIN 43880, "Modular electronics housings", Active, , , 
DIN 44070-1, "Meter mounting boards; dimensions based on a grid system", Active, , , 
DIN 44070-2, "Meter mounting boards; functional area", Active, , , 
DIN 44070-3, "Meter panels; wirings", Active, , , 
DIN 44070-4, "Meter panels; cover for wiring", Active, , , 
DIN 44080, "Thermistors; PTC, technical terms and tests", Withdrawn, , , 
DIN 44300, "Information processing; vocabulary", Withdrawn, , , 
DIN 44300-1, "Information processing - Concepts - General terms", Withdrawn, , , 
DIN 44300-2, "Information processing - Concepts - Representation of data", Withdrawn, , , 
DIN 44300-3, "Information processing - Concepts - Data structures", Withdrawn, , , 
DIN 44300-4, "Information processing - Concepts - Programming", Withdrawn, , , 
DIN 44300-5, "Information processing - Concepts - Components of digital computer systems", Withdrawn, , , 
DIN 44300-6, "Information processing - Concepts - Storage", Withdrawn, , , 
DIN 44300-7, "Information processing - Concepts - Times", Withdrawn, , , 
DIN 44300-8, "Information processing - Concepts - Processing functions", Withdrawn, , , 
DIN 44300-9, "Information processing - Concepts - Process relations and modes of operation", Withdrawn, , , 
DIN 45322, "Circular connectors for radio and associated sound equipment; six-pole connectors", Withdrawn, DIN EN 60130-9, EN 60130-9, 
DIN 45323, "Connectors for coupling an external low-voltage power to portable entertainment equipment (describes at least two DC coaxial power plugs)", Active, , , 
DIN 45500-1, "High fidelity audio equipment and systems; minimum performance requirements; Part 1: general", Withdrawn, DIN EN 61305-1, EN 61305-1, 
DIN 45500-2, "High fidelity audio equipment and systems; requirements for tuner equipments", Withdrawn, DIN EN 61305-2, EN 61305-2, 
DIN 45500-3, "High fidelity audio equipment and systems; requirements for disk record reproducing equipments", Withdrawn, , , 
DIN 45500-4, "High fidelity audio equipment and systems; minimum performance requirements for magnetic recording and reproducing equipment", Withdrawn, , , 
DIN 45500-5, "High fidelity audio equipment and systems; minimum performance requirements for microphones", Withdrawn, , , 
DIN 45500-6, "High fidelity audio equipment and systems; minimum performance requirements for amplifiers", Withdrawn, DIN EN 61305-3, EN 61305-3, 
DIN 45500-7, "High fidelity audio equipment and systems; requirements for loudspeakers", Withdrawn, DIN EN 61305-5, EN 61305-5, 
DIN 45500-8, "High fidelity audio equipment and systems; for sets and systems", Withdrawn, , , 
DIN 45500-9, "High fidelity audio equipment and systems; minimum requirements for magnetic tapes 4 and 6 for audio recordings", Withdrawn, , , 
DIN 45500-10, "High fidelity audio equipment and systems; minimum performance requirements for headphones", Withdrawn, , , 
DIN 45507, "Measuring apparatus for frequency variations in sound recording equipment", Withdrawn, DIN IEC 60386, IEC 60386, 
DIN 45539, "Disk record reproducing equipment; directives for measurements, markings and audio frequency connections, dimensions of interchangeable pickups, requirements of play back amplifiers", Withdrawn, DIN IEC 60098, IEC 60098, 
DIN 45596, "Microphones; phantom powering", Withdrawn, , , 
DIN 46400-1, "Steel flats with special magnetic properties cold rolled, non - oriented, finally annealed magnetic sheet and strip hysteresis loss at frequencies above 100 Hz", Withdrawn, DIN EN 10106, EN 10106, 
DIN 46400-3, "Grain-oriented magnetic steel and strip technical conditions", Withdrawn, DIN EN 10107, EN 10107, 
DIN 47100, "Cords for telecommunication; code of insulated conductors, colour of sheath", Withdrawn, , , 
DIN 47301-1, "Terms of HF-lines", Active, , , 
DIN 47301-2, "Terms of HF-lines", Active, , , 
DIN 47301-3, "Definition of radio frequency transmission lines - mean characteristic impedance - mean standing wave ratio", Active, , , 
DIN 48803, "Lightning protection system; Arrangement of components and dimensions for mounting", Withdrawn, , , 
DIN 48830, "Lightning protection system; Description", Withdrawn, , , 
DIN 51097, "Testing of floor coverings; determination of the anti-slip properties: wet-loaded barefoot areas; walking method; ramp test", Withdrawn, DIN 51130, , 
DIN 51130, "Testing of floor coverings; determination of the anti-slip properties: workrooms and fields of activities with slip danger, walking method - ramp test", Withdrawn, DIN 51097, , 
DIN 51501, "Lubricants; Lubricating Oils L-AN; Minimum Requirements", Withdrawn, , , 
DIN 52368, "Testing of particleboards; determination of formaldehyde emission by gas analysis", Withdrawn, DIN EN 717-2, EN 717-2, 
DIN 53150, "Paints and varnishes - Determination of the drying stage of coatings (modified Bandow-Wolff method)", Active, , , 
DIN 53438, "Testing of combustible materials; response to ignition by small flame", Active, , , 
DIN 53452, "Testing of Plastics; Flexural Test", Withdrawn, DIN EN ISO 178, ISO 178, 
DIN 53575, "Flexible Cellular Polymeric Materials - Determination of Tear Strength", Withdrawn, DIN EN ISO 8067, ISO 8067, 
DIN 54836, "Testing of combustible materials; determination of ignition temperature", Active, , , 
DIN 54837, "Determination of burning behaviour using a gas burner", Active, , , 
DIN 55003-3, "Machine tools; symbols; numerically controlled machine tools", Withdrawn, , , 
DIN 58145, "Measuring Method for determination of solarization effect of fused silica optical fibers", Active, , , 
DIN 58810, "Surgical implants; threads for bone screws and nuts", Withdrawn, , , 
DIN 58888, "Thread connection for microscope objectives", Withdrawn, DIN ISO 8038-1, ISO 8038-1, 
DIN ISO 53438, "", , , , 
DIN 66000, "Information processing; switching algebra, mathematical signs and symbols", Active, , , 
DIN 66001, "Information processing; graphical symbols and their application", Active, , , 
DIN 66002, "Information processing; handwriting of the digit 0 and of the upper case letter O", Active, , , 
DIN 66003, "Information technology - 7-bit code", Active, , , 
DIN 66004-1, "Information processing - Coding on data media - Part 1: Representation of 7-bit code character sets on punched tape 25", Active, , , 
DIN 66004-2, "Information processing - Coding on data media - Part 2: Representation of 7-bit coded and 8-bit coded character sets on punched cards", Active, , , 
DIN 66004-3, "Information processing - Coding on data media - Part 3: Representation of 7-bit coded and 8-bit coded character sets on magnetic tape 12", Active, , , 
DIN 66004-4, "Information processing - Coding on data media - Part 4: Representation of 7-bit coded and 8-bit coded character sets on magnetic tape cassette 3,8", Active, , , 
DIN 66004-5, "Information processing - Coding on data media - Part 5: Representation of 7-bit coded and 8-bit coded set on media-flexible disk cartridge", Active, , , 
DIN 66005, "Information processing; representation of packed numerics and binary data recorded on 9 tracks on magnetic tape 12", Active, , , 
DIN 66006, "Presentation of ALGOL/ALCOR programs on paper tape and punch cards", Withdrawn, , , 
DIN 66007, "Font CMC 7 for magnetic ink character recognition; characters and nominal dimensions", Withdrawn, DIN ISO 1004, ISO 1004, 
DIN 66008-1, "Font A for optical character recognition; characters and nominal dimensions", Active, , , 
DIN 66008-6, "Font A for optical character recognition; characters and nominal dimensions; extension of the character set", Active, , , 
DIN 66008-7, "Font A for optical character recognition; representation of characters by dots in a 9 × 9 matrix", Active, , , 
DIN 66009, "Font B for optical character recognition; character", Withdrawn, , , 
DIN 66020-1, "Functional requirements for the interface between data terminal equipment and data circuit-terminating equipment - Part 1: General application", Active, , , 
DIN 66020-2, "List of definitions for interchange circuits between data terminal equipment (DTE) and data circuit-terminating equipment (DCE) in public data networks", Active, , , 
DIN 66020-4, "Data transmission; interface between data circuit-terminating equipment (DCE) and data terminal equipment (DTE)", Active, , , 
DIN 66020-9, "Interface between data terminal equipment (DTE) and data circuit-terminating equipment (DCE) for synchronous transmission on group band circuits at 48,000 bits per second", Active, , , 
DIN 66021-1, "Data transmission; interface between data circuit-terminating equipment (DCE) and data terminal equipment (DTE)", Active, , , 
DIN 66021-2, "Interface between data terminal equipment (DTE) and data circuit-terminating equipment (DCE) for synchronous transmission on group band circuits at 48,000 bits per second", Active, , , 
DIN 66025-1, "Numerical control of machines, format; general requirements", Active, , , 
DIN 66025-2, "Industrial automation; numerical control of machines; format, preparatory and miscellaneous functions", Active, , , 
DIN 66027, "Information processing; programming language FORTRAN", Withdrawn, , , 
DIN 66215-1, "Programming of numerically controlled machines; CLDATA, general structure and record types", Active, , , 
DIN 66215-2, "Programming of numerically controlled machines; CLDATA; minor elements of type 2000 records (post-processor commands)", Active, , , 
DIN 66253-2, "Information processing; programming language PEARL", 1998, , , 
DIN 66234, "Information processing; programming language PL/I", Active, , , 
DIN 66255, "Information processing; programming language PL/I", Active, , , 
DIN 66256, "Information processing; programming language Pascal", Withdrawn, , , 
DIN 66257, "Numerical control of machines; concepts", Withdrawn, DIN ISO 2806, ISO 2806, 
DIN 66258-1, "Interfaces and basic data link control procedures for data communication; C S-interface, V S-interface", Withdrawn, , , 
DIN 66258-2, "Interface and basic data link control procedures for data communication; balanced interface for start-stop transmission using basic data link control procedures on point-to-point connection", Withdrawn, , , 
DIN 66261, "Information processing; Nassi-Shneiderman flowchart symbols", Active, , , 
DIN 66264-1, "Industrial automation systems and integration - Multiprocessor Control System for Industrial Machines (MPST) - Part 1: Parallel bus", Active, , , 
DIN 66264-2, "Multiprocessor control system for industrial machines (MPST); industrial automatics; rules for information interchange", Active, , , 
DIN 66303, "Information technology - 8 bit code", Active, , , 
DIN V 66304, "Industrial automation; Computer Aided Design; format for the exchange of standard parts data", Active, , , 
DIN 66325-2, "Local and Metropolitan Area Networks; LLC; identical with ISO 8802-2:1989", Withdrawn, , ISO 8802-2, 
DIN 66325-4, "Local and Metropolitan Area Networks; token-passing bus access method; identical with ISO/IEC 8802-4:1990", Withdrawn, , ISO/IEC 8802-4, 
