District, ID, Type, Area [km2]
Cottbus, 12052, kreisfreie Stadt, 165.61
Frankfurt (Oder), 12053, kreisfreie Stadt, 147.85
Potsdam, 12054, kreisfreie Stadt, 188.24
Barnim, 12060, Landkreis, 1,479.58
Dahme-Spreewald, 12061, Landkreis, 2,274.50
Elbe-Elster, 12062, Landkreis, 1,899.18
Havelland, 12063, Landkreis, 1,727.31
Märkisch-Oderland, 12064, Landkreis, 2,158.66
Oberhavel, 12065, Landkreis, 1,808.18
Oberspreewald-Lausitz, 12066, Landkreis, 1,223.48
Oder-Spree, 12067, Landkreis, 2,256.76
Ostprignitz-Ruppin, 12068, Landkreis, 2,526.46
Potsdam-Mittelmark, 12069, Landkreis, 2,592.03
Prignitz, 12070, Landkreis, 2,138.58
Spree-Neiße, 12071, Landkreis, 1,657.00
Teltow-Fläming, 12072, Landkreis, 2,104.20
Uckermark, 12073, Landkreis, 3,077.02
Greifswald, 13001, kreisfreie Stadt (until 2011-09-03), -
Neubrandenburg, 13002, kreisfreie Stadt (until 2011-09-03, -
Rostock, 13003, kreisfreie Stadt, 181.36
Schwerin, 13004, kreisfreie Stadt, 130.52
Stralsund, 13005, kreisfreie Stadt (until 2011-09-03), -
Wismar, 13006, kreisfreie Stadt (until 2011-09-03), -
Bad Doberan, 13051, Landkreis (until 2011-09-03), -
Demmin, 13052, Landkreis (until 2011-09-03), -
Güstrow, 13053, Landkreis (until 2011-09-03), -
Ludwigslust, 13054, Landkreis (until 2011-09-03), -
Mecklenburg-Strelitz, 13055, Landkreis (until 2011-09-03), -
Müritz, 13056, Landkreis (until 2011-09-03), -
Nordvorpommern, 13057, Landkreis (until 2011-09-03), -
Nordwestmecklenburg, 13058, Landkreis (until 2011-09-03), -
Ostvorpommern, 13059, Landkreis (until 2011-09-03), -
Parchim, 13060, Landkreis (until 2011-09-03), -
Rügen, 13061, Landkreis (until 2011-09-03), -
Uecker-Randow, 13062, Landkreis (until 2011-09-03), -
Mecklenburgische Seenplatte, 13071, Landkreis, 5,495.58
Rostock, 13072, Landkreis, 3,431.14
Vorpommern-Rügen, 13073, Landkreis, 3,215.73
Nordwestmecklenburg, 13074, Landkreis, 2,127.07
Vorpommern-Greifswald, 13075, Landkreis, 3,945.66
Ludwigslust-Parchim, 13076, Landkreis, 4,766.76
Chemnitz, 14161, kreisfreie Stadt (until 2008-07-31), -
Plauen, 14166, kreisfreie Stadt (until 2008-07-31), -
Zwickau, 14167, kreisfreie Stadt (until 2008-07-31), -
Annaberg, 14171, Landkreis (until 2008-07-31), -
Chemnitzer Land, 14173, Landkreis (until 2008-07-31), -
Freiberg, 14177, Landkreis (until 2008-07-31), -
Vogtlandkreis (until 2008-07-31), 14178, , -
Mittlerer Erzgebirgskreis (until 2008-07-31), 14181, , -
Mittweida, 14182, Landkreis (until 2008-07-31), -
Stollberg, 14188, Landkreis (until 2008-07-31), -
Aue-Schwarzenberg, 14191, Landkreis (until 2008-07-31), -
Zwickauer Land, 14193, Landkreis (until 2008-07-31), -
Dresden, 14262, kreisfreie Stadt (until 2008-07-31), -
Görlitz, 14263, kreisfreie Stadt (until 2008-07-31), -
Hoyerswerda, 14264, kreisfreie Stadt (until 2008-07-31), -
Bautzen, 14272, Landkreis (until 2008-07-31), -
Meißen, 14280, Landkreis (until 2008-07-31), -
Niederschlesischer Oberlausitzkreis (b.31.07.2008), 14284, , -
Riesa-Großenhain, 14285, Landkreis (until 2008-07-31), -
Löbau-Zittau, 14286, Landkreis (until 2008-07-31), -
Sächsische Schweiz, 14287, Landkreis (until 2008-07-31), -
Weißeritzkreis (until 2008-07-31), 14290, , -
Kamenz, 14292, Landkreis (until 2008-07-31), -
Leipzig, 14365, kreisfreie Stadt (until 2008-07-31), -
Delitzsch, 14374, Landkreis (until 2008-07-31), -
Döbeln, 14375, Landkreis (until 2008-07-31), -
Leipziger Land, 14379, Landkreis (until 2008-07-31), -
Muldentalkreis (until 2008-07-31), 14383, , -
Torgau-Oschatz, 14389, Landkreis (until 2008-07-31), -
Chemnitz, 14511, kreisfreie Stadt, 221.03
Erzgebirgskreis, 14521, , 1,827.91
Mittelsachsen, 14522, Landkreis, 2,116.84
Vogtlandkreis, 14523, , 1,412.39
Zwickau, 14524, Landkreis, 949.8
Dresden, 14612, kreisfreie Stadt, 328.48
Bautzen, 14625, Landkreis, 2,395.59
Görlitz, 14626, Landkreis, 2,111.40
Meißen, 14627, Landkreis, 1,454.58
Sächsische Schweiz-Osterzgebirge, 14628, Landkreis, 1,654.24
Leipzig, 14713, kreisfreie Stadt, 297.8
Leipzig, 14729, Landkreis, 1,651.27
Nordsachsen, 14730, Landkreis, 2,028.55
Dessau-Roßlau, 15001, kreisfreie Stadt, 245.78
Halle (Saale), 15002, kreisfreie Stadt, 135.56
Magdeburg, 15003, kreisfreie Stadt, 201.68
Altmarkkreis Salzwedel, 15081, , 2,304.44
Anhalt-Bitterfeld, 15082, Landkreis, 1,461.47
Börde, 15083, Landkreis, 2,376.90
Burgenlandkreis, 15084, , 1,419.92
Harz, 15085, Landkreis, 2,110.40
Jerichower Land, 15086, Landkreis, 1,589.34
Mansfeld-Südharz, 15087, Landkreis, 1,456.33
Saalekreis, 15088, , 1,440.45
Salzlandkreis, 15089, , 1,433.60
Stendal, 15090, Landkreis, 2,436.20
Wittenberg, 15091, Landkreis, 1,942.75
Dessau, 15101, kreisfreie Stadt (until 2007-06-30), -
Anhalt-Zerbst, 15151, Landkreis (until 2007-06-30), -
Bernburg, 15153, Landkreis (until 2007-06-30), -
Bitterfeld, 15154, Landkreis (until 2007-06-30), -
Köthen, 15159, Landkreis (until 2007-06-30), -
