ICS, Parent ICS, Title, Scope, 
29.02, 29, Electrical engineering in general, Including voltagesand  general electrical terminologyand  electrical documentationand  electrical tablesand  safetyand  fire hazard testingand  etc., 
29.03, 29, Magnetic materials, , 
29.035, 29, Insulating materials, , 
29.04, 29, Insulating fluids, , 
29.045, 29, Semiconducting materials, , 
29.05, 29, Superconductivity and conducting materials, , 
29.06, 29, Electrical wires and cables, , 
29.08, 29, Insulation, , 
29.1, 29, Components for electrical equipment, , 
29.12, 29, Electrical accessories, , 
29.13, 29, Switchgear and controlgear, , 
29.14, 29, Lamps and related equipment, , 
29.16, 29, Rotating machinery, , 
29.18, 29, Transformers. Reactors, , 
29.2, 29, Rectifiers. Converters. Stabilized power supply, Including semiconductor converters, 
29.22, 29, Galvanic cells and batteries, , 
29.24, 29, Power transmission and distribution networks, , 
29.26, 29, Electrical equipment for working in special conditions, , 
29.28, 29, Electric traction equipment, Including railway electric fixed installations, 
31.02, 31, Electronic components in general, , 
31.04, 31, Resistors, , 
31.06, 31, Capacitors, , 
31.08, 31, Semiconductor devices, , 
31.1, 31, Electronic tubes, , 
31.12, 31, Electronic display devices, Including liquid crystal displays, 
31.14, 31, Piezoelectric devices, , 
31.16, 31, Electric filters, , 
31.18, 31, Printed circuits and boards, , 
31.19, 31, Electronic component assemblies, Including preassembled modules, 
31.2, 31, Integrated circuits. Microelectronics, Including electronic chipsand  logical and analogue microstructures, 
31.22, 31, Electromechanical components for electronic and telecommunications equipment, , 
31.24, 31, Mechanical structures for electronic equipment, , 
31.26, 31, Optoelectronics. Laser equipment, Including photoelectric tubes and cells, 
33.02, 33, Telecommunications in general, Including infrastructure, 
33.03, 33, Telecommunication services. Applications, Including supplementary servicesand  service aspects and associated legal traceability aspects, 
33.04, 33, Telecommunication systems, Including network (system) aspects, 
33.05, 33, Telecommunication terminal equipment, , 
33.06, 33, Radiocommunications, , 
33.07, 33, Mobile services, , 
33.08, 33, Integrated Services Digital Network (ISDN), , 
33.1, 33, Electromagnetic compatibility (EMC), Including radio interference, 
33.12, 33, Components and accessories for telecommunications equipment, , 
33.14, 33, Special measuring equipment for use in telecommunications, , 
33.16, 33, Audioand  video and audiovisual engineering, , 
33.17, 33, Television and radio broadcasting, , 
33.18, 33, Fibre optic communications, , 
33.2, 33, Telecontrol. Telemetering, Including Supervisingand  Control and Data Acquisition System (SCADA), 
35.02, 35, Information technology (IT) in general, Including general aspects of IT equipment, 
35.03, 35, IT Security, Including encryption, 
35.04, 35, Information coding, Including coding of audioand  pictureand  multimedia and hypermedia informationand  bar codingand  etc., 
35.06, 35, Languages used in information technology, , 
35.08, 35, Software, Including software developmentand  documentation and use, 
35.1, 35, Open systems interconnection (OSI), , 
35.11, 35, Networking, Including local area networks (LAN)and  metropolitan area networks (MAN)and  wide area networks (WAN)and  etc., 
35.14, 35, Computer graphics, , 
35.16, 35, Microprocessor systems, Including PCsand  calculatorsand  etc., 
35.18, 35, IT terminal and other peripheral equipment, Including modems, 
35.2, 35, Interface and interconnection equipment, , 
35.21, 35, Cloud computing, , 
35.22, 35, Data storage devices, , 
35.24, 35, Applications of information technology, , 
35.26, 35, Office machines, Including typewritersand  dictation equipmentand  addressing machinesand  letter opening machinesand  letter folding machinesand  postal franking machinesand  their ribbons and other accessoriesand  etc., 
37.02, 37, Optical equipment, Including microscopesand  telescopesand  binocularsand  optical materialsand  optical components and optical systems, 
37.04, 37, Photography, , 
37.06, 37, Cinematography, , 
37.08, 37, Document imaging applications, Including micrographicand  electronic and optical applications, 
37.1, 37, Graphic technology, , 
39.02, 39, Precision mechanics, Including microsystems, 
39.04, 39, Horology, , 
39.06, 39, Jewellery, Including precious metalsand  precious and semi-precious stones, 
43.02, 43, Road vehicles in general, Including testing and recycling of road vehicles, 
43.04, 43, Road vehicle systems, , 
43.06, 43, Internal combustion engines for road vehicles, , 
43.08, 43, Commercial vehicles, , 
43.1, 43, Passenger cars. Caravans and light trailers, , 
43.12, 43, Electric road vehicles, Including their components and systems, 
43.14, 43, Motorcycles and mopeds, Including their components and systems, 
43.15, 43, Cycles, Including their components and systems, 
43.16, 43, Special purpose vehicles, Including waste collection vehicles and components and systems for special purpose vehicles, 
43.18, 43, Diagnosticand  maintenance and test equipment, Including repairing facilities, 
45.02, 45, Railway engineering in general, , 
45.04, 45, Materials and components for railway engineering, , 
45.06, 45, Railway rolling stock, Including materialsand  componentsand  electric and electronic equipment for railway rolling stock, 
