Eurycleidus, , ,
Euskelosaurus, Africa, Triassic,
Eustreptospondylus, Europe, Jurassic,
Fabrosaurus, Africa, Jurassic,
Falcarius, North America, Cretaceous,
Faxinalipterus, South America, Triassic,
Feilongus, Asia, Cretaceous,
Fenghuangopterus, Asia, Jurassic,
Ferganasaurus, Asia, Jurassic,
Ferganocephale, Asia, Jurassic,
Fostoria, Oceania, Cretaceous,
Fresnosaurus, , ,
Fruitadens, North America, Jurassic,
Fukuiraptor, Asia, Cretaceous,
Fukuisaurus, Asia, Cretaceous,
Fukuititan, Asia, Cretaceous,
Fukuivenator, Asia, Cretaceous,
Fulengia, Asia, Jurassic,
Fulgurotherium, Oceania, Cretaceous,
Fusuisaurus, Asia, Cretaceous,
Futabasaurus, , ,
Futalognkosaurus, South America, Cretaceous,
Gadolosaurus, Asia, Cretaceous,
Galeamopus, North America, Jurassic,
Gallardosaurus, , ,
Galleonosaurus, Oceania, Cretaceous,
Gallimimus, Asia, Cretaceous,
Gallodactylus, , ,
Galvesaurus, Europe, Jurassic; Cretaceous,
Gannansaurus, Asia, Cretaceous,
Ganzhousaurus, Asia, Cretaceous,
Gargoyleosaurus, North America, Jurassic,
Garudimimus, Asia, Cretaceous,
Gasosaurus, Asia, Jurassic,
Gasparinisaura, South America, Cretaceous,
Gastonia, North America, Cretaceous,
Gegepterus, Asia, Cretaceous,
Geminiraptor, North America, Cretaceous,
Genusaurus, Europe, Cretaceous,
Genyodectes, South America, Cretaceous,
Georgiasaurus, , ,
Geosternbergia, , ,
Geranosaurus, Africa, Jurassic,
Germanodactylus, Europe, Jurassic,
Gideonmantellia, Europe, Cretaceous,
Giganotosaurus, South America, Cretaceous,
Gigantoraptor, Asia, Cretaceous,
Gigantspinosaurus, Asia, Jurassic,
Gilmoreosaurus, Asia, Cretaceous,
Giraffatitan, Africa, Jurassic,
Glacialisaurus, Antarctica, Jurassic,
Gladocephaloideus, Asia, Cretaceous,
Glishades, North America, Cretaceous,
Glyptodontopelta, North America, Cretaceous,
Gnathosaurus, Europe, Jurassic,
Gobiceratops, Asia, Cretaceous,
Gobiraptor, Asia, Cretaceous,
Gobisaurus, Asia, Cretaceous,
Gobititan, Asia, Cretaceous,
Gobivenator, Asia, Cretaceous,
Gojirasaurus, North America, Triassic,
Gondwanatitan, South America, Cretaceous,
Gongbusaurus, Asia, Jurassic,
Gongpoquansaurus, Asia, Cretaceous,
Gongxianosaurus, Asia, Jurassic,
Gorgosaurus, North America, Cretaceous,
Goyocephale, Asia, Cretaceous,
Graciliceratops, Asia, Cretaceous,
Graciliraptor, Asia, Cretaceous,
Grallator, Oceania, Cretaceous,
Gravitholus, North America, Cretaceous,
Gronausaurus, Europe, Cretaceous,
Gryphoceratops, North America, Cretaceous,
Gryposaurus, North America, Cretaceous,
Guaibasaurus, South America, Triassic,
Gualicho, South America, Cretaceous,
Guanlong, Asia, Jurassic,
Guidraco, Asia, Cretaceous,
Gwawinapterus, North America, Cretaceous,
Gyposaurus, Africa, Jurassic,
Hadrosaurus, North America, Cretaceous,
Hagryphus, North America, Cretaceous,
Halticosaurus, Europe, Triassic,
Hamipterus, Asia, Cretaceous,
Hanssuesia, North America, Cretaceous,
Hanwulosaurus, Asia, Cretaceous,
Haopterus, Asia, Cretaceous,
Haplocanthosaurus, North America, Jurassic,
Haplocheirus, Asia, Jurassic,
Harpactognathus, North America, Jurassic,
Harpymimus, Asia, Cretaceous,
Hastanectes, Europe, Cretaceous,
Hatzegopteryx, Europe, Cretaceous,
Hauffiosaurus, , ,
Haya, Asia, Cretaceous,
Heilongjiangosaurus, Asia, Cretaceous,
Heishansaurus, Asia, Cretaceous,
Helioceratops, Asia, Cretaceous,
Heptasteornis, Europe, Cretaceous,
Herbstosaurus, South America, Jurassic,
Herrerasaurus, South America, Triassic,
Hesperonychus, North America, Cretaceous,
Hesperosaurus, North America, Jurassic,
Heterodontosaurus, Africa, Jurassic,
Hexing, Asia, Cretaceous,
Hexinlusaurus, Asia, Jurassic,
Heyuannia, Asia, Cretaceous,
Hippodraco, North America, Cretaceous,
Histriasaurus, Europe, Cretaceous,
Homalocephale, Asia, Cretaceous,
Hongshanopterus, Asia, Cretaceous,
Hongshanosaurus, Asia, Cretaceous,
Hoplitosaurus, North America, Cretaceous,
Horshamosaurus, Europe, Cretaceous,
Huabeisaurus, Asia, Cretaceous,
Huanghetitan, Asia, Cretaceous,
Huanhepterus, Asia, Jurassic,
Huaxiagnathus, Asia, Cretaceous,
Huaxiaosaurus, Asia, Cretaceous,
Huaxiapterus, Asia, Cretaceous,
Huayangosaurus, Asia, Jurassic,
Hudiesaurus, Asia, Jurassic,
Huehuecanauhtlus, North America, Cretaceous,
Hulsanpes, Asia, Cretaceous,
Hungarosaurus, Europe, Cretaceous,
Hydrorion, , ,
Hydrotherosaurus, , ,
Hylaeosaurus, Europe, Cretaceous,
Hypacrosaurus, North America, Cretaceous,
Hypselosaurus, Europe, Cretaceous,
Hypselospinus, Europe, Cretaceous,
Hypsibema, North America, Cretaceous,
Hypsilophodon, Europe, Cretaceous,
Iberomesornis, Europe, Cretaceous,
Ichthyovenator, Asia, Cretaceous,
Ignavusaurus, Africa, Jurassic,
Iguanacolossus, North America, Cretaceous,
Iguanodon, Europe, Cretaceous,
Ikrandraco, Asia, Cretaceous,
Iliosuchus, Europe, Cretaceous,
Ilokelesia, South America, Cretaceous,
Imperobator, Antarctica, Cretaceous,
Incisivosaurus, Asia, Cretaceous,
Indosaurus, Asia, Cretaceous,
Indosuchus, Asia, Cretaceous,
Ingridia, , ,
Inosaurus, Africa, Cretaceous,
Irritator, South America, Cretaceous,
Isaberrysaura, South America, Jurassic,
Isanosaurus, Asia, Triassic,
Ischyrosaurus, Europe, Jurassic,
Isisaurus, Asia, Cretaceous,
Istiodactylus, Europe, Cretaceous,
Itemirus, Asia, Cretaceous,
Iuticosaurus, Europe, Cretaceous,
Jainosaurus, Asia, Cretaceous,
Jaklapallisaurus, Asia, Triassic,
Janenschia, Africa, Jurassic,
Jaxartosaurus, Asia, Cretaceous,
Jeholopterus, Asia, Jurassic; Cretaceous,
Jeholosaurus, Asia, Cretaceous,
Jeyawati, North America, Cretaceous,
Jianchangnathus, Asia, Jurassic,
Jianchangopterus, Asia, Jurassic,
Jianchangosaurus, Asia, Cretaceous,
Jiangjunosaurus, Asia, Jurassic,
Jiangshanosaurus, Asia, Cretaceous,
Jiangxisaurus, Asia, Cretaceous,
Jidapterus, Asia, Cretaceous,
Jinfengopteryx, Asia, Jurassic; Cretaceous,
Jingshanosaurus, Asia, Jurassic,
Jintasaurus, Asia, Cretaceous,
Jinzhousaurus, Asia, Cretaceous,
Jiutaisaurus, Asia, Cretaceous,
Jobaria, Africa, Cretaceous,
Jubbulpuria, Asia, Cretaceous,
Judiceratops, North America, Cretaceous,
Juratyrant, Europe, Jurassic,
Juravenator, Europe, Jurassic,
Kaatedocus, North America, Jurassic,
Kaijiangosaurus, Asia, Jurassic,
Kaiwhekea, , ,
Kakuru, Oceania, Cretaceous,
Kangnasaurus, Africa, Cretaceous,
Karongasaurus, Africa, Cretaceous,
Katepensaurus, South America, Cretaceous,
Kayentavenator, North America, Jurassic,
Kazaklambia, Asia, Cretaceous,
Kelmayisaurus, Asia, Cretaceous,
Kemkemia, Africa, Cretaceous,
Kentrosaurus, Africa, Jurassic,
Kepodactylus, North America, Jurassic,
Kerberosaurus, Asia, Cretaceous,
Khaan, Asia, Cretaceous,
Khetranisaurus, Asia, Cretaceous,
Kileskus, Asia, Jurassic,
Kimmerosaurus, , ,
Kinnareemimus, Asia, Cretaceous,
Klamelisaurus, Asia, Jurassic,
Kol, Asia, Cretaceous,
Koparion, North America, Jurassic,
Koreaceratops, Asia, Cretaceous,
Koreanosaurus, Asia, Cretaceous,
Koshisaurus, Asia, Cretaceous,
Kosmoceratops, North America, Cretaceous,
Kotasaurus, Asia, Jurassic,
Kritosaurus, North America, Cretaceous,
Kronosaurus, , ,
Kryptodrakon, Asia, Jurassic,
Kryptops, Africa, Cretaceous,
Kukufeldia, Europe, Cretaceous,
Kulceratops, Asia, Cretaceous,
Kulindadromeus, Asia, Jurassic,
Kunbarrasaurus, Oceania, Cretaceous,
Kundurosaurus, Asia, Cretaceous,
Kunmingosaurus, Asia, Jurassic,
Kunpengopterus, Asia, Jurassic,
Labocania, North America, Cretaceous,
Lacusovagus, South America, Cretaceous,
Laevisuchus, Asia, Cretaceous,
Lamaceratops, Asia, Cretaceous,
Lambeosaurus, North America, Cretaceous,
Lametasaurus, Asia, Cretaceous,
Lamplughsaura, Asia, Jurassic,
Lanasaurus, Africa, Jurassic,
Lancanjiangosaurus, Asia, Jurassic,
Lanzhousaurus, Asia, Cretaceous,
Laosaurus, North America, Jurassic; Cretaceous,
Lapampasaurus, South America, Cretaceous,
Laplatasaurus, South America, Cretaceous,
Lapparentosaurus, Africa, Jurassic,
Laquintasaura, South America, Jurassic,
Latenivenatrix, North America, Cretaceous,
Latirhinus, North America, Cretaceous,
Leaellynasaura, Oceania, Cretaceous,
Leinkupal, South America, Cretaceous,
Leonerasaurus, South America, Triassic; Jurassic,
Leptoceratops, North America, Cretaceous,
Leptocleidus, , ,
Leptorhynchos, North America, Cretaceous,
Leshansaurus, Asia, Jurassic,
Lesothosaurus, Africa, Jurassic,
Lessemsaurus, South America, Triassic,
Levnesovia, Asia, Cretaceous,
Lexovisaurus, Europe, Jurassic,
Leyesaurus, South America, Jurassic,
Liaoceratops, Asia, Cretaceous,
Liaoningopterus, Asia, Cretaceous,
Liaoningosaurus, Asia, Cretaceous,
Liassaurus, Europe, Jurassic,
Libonectes, , ,
Ligabueino, South America, Cretaceous,
Ligabuesaurus, South America, Cretaceous,
Liliensternus, Europe, Triassic,
Limaysaurus, South America, Cretaceous,
Limusaurus, Asia, Jurassic,
Lingwulong, Asia, Jurassic,
Linhenykus, Asia, Cretaceous,
Linheraptor, Asia, Cretaceous,
Linhevenator, Asia, Cretaceous,
Liopleurodon, , ,
