AMD A10 PRO-7800B APU; Desktop; FM2+; 3.5GHZ; 3.9GHZ; 2; 4; 65W; ; ; 
AMD A10 PRO-7850B APU; Desktop; FM2+; 3.7GHZ; 4.0GHZ; 2; 4; 95W; ; ; 
AMD A10-4600M APU; Laptop; FS1r2; 2.3GHZ; 3.2GHZ; 2; 4; 35W; ; ; 
AMD A10-4655M APU; Laptop; FP2; 2.0GHZ; 2.8GHZ; 2; 4; 25W; ; ; 
AMD A10-4657M APU; Laptop; FP2; 2.3GHZ; 3.2GHZ; 4; 4; 35W; ; ; 
AMD A10-5700 APU; Desktop; FM2; 3.4GHZ; 4.0GHZ; 2; 4; 65W; ; ; 
AMD A10-5745M APU; Laptop; FP2; 2.1GHZ; 2.9GHZ; 4; 4; 25W; ; ; 
AMD A10-5750M APU; Laptop; FS1r2; 2.5GHZ; 3.5GHZ; 4; 4; 35W; ; ; 
AMD A10-5757M APU; Laptop; FP2; 2.5GHZ; 3.5GHZ; 4; 4; 35W; ; ; 
AMD A10-5800B APU; Desktop; FM2; 3.8GHZ; 4.2GHZ; 2; 4; 100W; ; ; 
AMD A10-5800K APU; Desktop; FM2; 3.8GHZ; 4.2GHZ; 2; 4; 100W; ; ; 
AMD A10-6700 APU; Desktop; FM2; 3.7GHZ; 4.3GHZ; 4; 4; 65W; ; ; 
AMD A10-6700T APU; Desktop; FM2; 2.5GHZ; 3.5GHZ; 2; 4; 45W; ; ; 
AMD A10-6790K APU; Desktop; FM2; 4.0GHZ; 4.3GHZ; 2; 4; 100W; ; ; 
AMD A10-6800B APU; Desktop; FM2; 4.1GHZ; 4.4GHZ; 2; 4; 100W; ; ; 
AMD A10-6800K APU; Desktop; FM2; 4.1GHZ; 4.4GHZ; 2; 4; 100W; ; ; 
AMD A10-7300 APU; Laptop; FP3; 1.9GHZ; 3.2GHZ; 4; 4; 19W; ; ; 
AMD A10-7400P; Laptop; FP3; 2.5GHZ; 3.4GHZ; 4; 4; 35W; ; ; 
AMD A10-7700K APU; Desktop; FM2+; 3.4GHZ; 3.8GHZ; 2; 4; 95W; ; ; 
AMD A10-7800 APU; Desktop; FM2+; 3.5GHZ; 3.9GHZ; 2; 4; 65W; ; ; 
AMD A10-7850K APU; Desktop; FM2+; 3.7GHZ; 4.0GHZ; 2; 4; 95W; ; ; 
AMD A10-7860K; Desktop; FM2+; 3.6GHZ; 4.0GHZ; 2; 4; 65W; ; ; 
AMD A10-7870K; Desktop; FM2+; 3.9GHZ; 4.1GHZ; 2; 4; 95W; ; ; 
AMD A10-7890K; Desktop; FM2+; 4.1GHZ; 4.3GHZ; 2; 4; 95W; ; ; 
AMD A10-8700P; Laptop; FP4; 1.8GHZ; 3.2GHZ; 2; 4; 35W; ; ; 
AMD A10-8750; Desktop; FM2+; 3.6GHZ; 4.0GHZ; 2; 4; 65W; ; ; 
AMD A10-8850; Desktop; ; 3.9GHZ; 4.1GHZ; 2; 4; ; ; ; 
AMD A10-9600P; Laptop; FP4; 2.3GHZ; 3.2GHZ; 4; 4; 15W; ; ; 
AMD A10-9620P; Laptop; ; 2.5GHZ; 3.4GHZ; 4; 4; 15W; ; ; 
AMD A10-9630P; Laptop; FP4; 2.6GHZ; 3.3GHZ; 4; 4; 35W; ; ; 
AMD A10-9700; Desktop; AM4; 3.5GHZ; 3.8GHZ; 4; 4; 65W; 45W; ; 
AMD A10-9700E; Desktop; AM4; 3.0GHZ; 3.5GHZ; 4; 4; 35W; ; ; 
AMD A12-9700P; Laptop; FP4; 2.5GHZ; 3.4GHZ; 4; 4; 15W; ; ; 
AMD A12-9720P; Laptop; FP4; 2.7GHZ; 3.6GHZ; 4; 4; 15W; ; ; 
AMD A12-9730P; Laptop; FP4; 2.8GHZ; 3.5GHZ; 4; 4; 35W; ; ; 
AMD A12-9800; Desktop; AM4; 3.8GHZ; 4.2GHZ; 2; 4; 65W; ; ; 
AMD A12-9800E; Desktop; AM4; 3.1GHZ; 3.8GHZ; 4; 4; 35W; ; ; 
AMD Athlon64 X2 Dual Core 4600+; Desktop; AM2; 2.4GHZ; ; 2; 2; 110W; ; ; 
AMD Athlon 64 2000+; ; ; 1.0GHZ; ; 1; 1; 8W; ; ; 
AMD Athlon 64 2600+; ; ; 1.6GHZ; ; 1; 1; 15W; ; ; 
AMD Athlon 64 2800+; ; 754; 1.8GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 64 3000+; Desktop; Socket754; 2.0GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 64 3100+; Desktop; 754; 1.8GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 64 3200+; ; AM2; 2.2GHZ; ; 1; 1; 62W; ; ; 
AMD Athlon 64 3300+; ; ; 2.4GHZ; ; 1; 1; ; ; ; 
AMD Athlon 64 3400+; ; 754; 2.4GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 64 3500+; ; AM2; 2.2GHZ; ; 1; 1; 45W; ; ; 
AMD Athlon 64 3700+; Desktop; 939; 2.2GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 64 3800+; ; AM2; 2.4GHZ; ; 1; 1; 45W; ; ; 
AMD Athlon 64 4000+; ; AM2; 2.6GHZ; ; 1; 1; 62W; ; ; 
AMD Athlon 64 FX-55; Desktop; 939; 2.6GHZ; ; 1; 1; 104W; ; ; 
AMD Athlon 64 FX-57; Desktop; 939; 2.8GHZ; ; 1; 1; 104W; ; ; 
AMD Athlon 64 FX-59; Desktop; 939; 3.0GHZ; ; 1; 1; ; ; ; 
AMD Athlon 64 FX-60 Dual Core; Desktop; 939; 2.6GHZ; ; 2; 2; 110W; ; ; 
AMD Athlon 64 FX-62 Dual Core; Desktop; AM2; 2.8GHZ; ; 2; 2; 125W; ; ; 
