13.5.1, 17F80, 01 Jun 2020, 
13.6, 17G68, 15 July 2020, 
13.6.1, 17G80, 12 Aug 2020, 
13.7, 17H35, 01 Sep 2020, 
14, 18A373, 16 Sep 2020, 
14.0.1, 18A393, 24 Sep 2020, 
14.1, 18A8395, 20 Oct 2020, 
14.2, 18B92, 05 Nov 2020, 
14.2, 18B111, 05 Nov 2020, 
14.2.1, 18B121, 19 Nov 2020, 
14.3, 18C66, 14 Dec 2020, 
14.4, 18D52, 26 Jan 2021, 
14.4.1, 18D61, 08 Mar 2021, 
14.4.2, 18D70, 26 Mar 2021, 
14.5, 18E199, 26 Apr 2021, 
14.5.1, 18E212, 03 May 2021, 
14.6 Beta 3, 18F5065a, 10 May 2021, 
14.6 RC, 18F71, 17 May 2021, 
14.6 RC 2, 18F72, 21 May 2021, 
14.6, 18F72, 24 May 2021, 
14.7 Beta 1, 18G5023c, 19 May 2021, 
14.7 Beta 2, 18G5033e, 02 Jun 2021, 
14.7 Beta 3, 18G5042c, 14 Jun 2021, 
14.7 Beta 4, 18G5052d, 29 Jun 2021, 
14.7 Beta 5, 18G5063a, 08 July 2021, 
14.7 RC, 18G68, 13 July 2021, 
14.7, 18G69, 19 July 2021, 
14.7.1, 18G82, 26 July 2021, 
14.8, 18H17, 13 Sep 2021, 
14.8.1, 18H107, 26 Oct 2021, 
15.0 Beta 1, 19A5261w, 07 Jun 2021, 
15.0 Beta 2[1], 19A5281h, 24 Jun 2021, 
15.0 Beta 2[2], 19A5281j, 30 Jun 2021, 
15.0 Beta 3, 19A5297e, 14 July 2021, 
15.0 Beta 4, 19A5307g, 27 July 2021, 
15.0 Beta 5, 19A5318f, 10 Aug 2021, 
15.0 Beta 6, 19A5325f, 17 Aug 2021, 
15.0 Beta 7, 19A5337a, 25 Aug 2021, 
15.0 Beta 8, 19A5340a, 31 Aug 2021, 
15.0 RC, 19A344, 14 Sep 2021, 
15, 19A346, 20 Sep 2021, 
15.1 Beta 1, 19B5042h, 21 Sep 2021, 
15.1 Beta 2, 19B5052f, 28 Sep 2021, 
15.0.1, 19A348, 01 Oct 2021, 
15.1 Beta 3, 19B5060d, 06 Oct 2021, 
15.0.2, 19A404, 11 Oct 2021, 
15.1 Beta 4, 19B5068a, 13 Oct 2021, 
15.1 RC 1, 19B74, 18 Oct 2021, 
15.1 RC 2, 19B75, 21 Oct 2021, 
15.1, 19B74, 25 Oct 2021, 
15.2 Beta 1, 19C5026i, 27 Oct 2021, 
15.2 Beta 2, 19C5036e, 09 Nov 2021, 
15.2 Beta 3, 19C5044b, 16 Nov 2021, 
15.1.1, 19B81, 17 Nov 2021, 
15.2 Beta 4, 19C5050b, 02 Dec 2021, 
15.2 RC, 19C56, 07 Dec 2021, 
15.2 RC 2, 19C57, 10 Dec 2021, 
15.2, 19C57, 13 Dec 2021, 
15.3 Beta 1, 19D5026g, 17 Dec 2021, 
15.2.1, 19C63, 12 Jan 2022, 
15.3 Beta 2, 19D5040e, 12 Jan 2022, 
15.3 RC, 19D49, 20 Jan 2022, 
15.3, 19D50, 26 Jan 2022, 
15.4 Beta 1, 19E5209h, 27 Jan 2022, 
15.4 Beta 2, 19E5219e, 08 Feb 2022, 
15.3.1, 19D52, 10 Feb 2022, 
15.4 Beta 3, 19E5225g, 15 Feb 2022, 
15.4 Beta 4, 19E5235a, 22 Feb 2022, 
15.4 Beta 5, 19E5241a, 01 Mar 2022, 
15.4 RC, 19E241, 08 Mar 2022, 
15.4, 19E241, 14 Mar 2022, 
