A (1998)
The Accused: (1949, 1960, 1988 & 2018)
Accused of Murder (1956)
The Accused Uncle Shangang (1994)
Ace Drummond (1936)
Ace High: (1919 & 1968)
Ace in the Hole: (1942 & 1951)
Ace Ventura: Pet Detective (1994)
Ace Ventura: When Nature Calls (1995)
Ace Ventura Jr.: Pet Detective (2009)
Aces Go Places (1982)
Aces Go Places 2 (1983)
Aces Go Places 3 (1984)
Aces Go Places 4 (1986)
Aces High (1976)
Aces: Iron Eagle III (1992)
Achan: (1952 & 2011)
Achut Kanya (1936)
The Acid House (1998)
Across 110th Street (1972)
Across the Bridge (1957)
Across the Pacific (1942)
Across the Tracks (1991)
Across the Universe (2007)
Across the Wide Missouri (1951)
The Act of Killing (2012)
The Act in Question (1994)
Act of Valor (2012)
Act of Vengeance (1986)
Act of Violence: (1949, 1956, & 1959)
Action Jackson: (1988 & 2014)
Action in the North Atlantic (1943)
Action Replayy (2010)
Action: The October Crisis of 1970 (1973)
Actor: (1993 & 2016)
Acts of Vengeance (2017)
Ad Astra (2019)
Ad Fundum (1993)
Ad-lib Night (2006)
Ada: (1961 & 2019)
Ada... A Way of Life (2010)
Ada Apa Dengan Cinta?: (2002 & 2014)
Ada Apa Dengan Cinta? 2 (2016)
Ada Apa Dengan Rina (2013)
Adada (1987)
Adada Enna Azhagu (2009)
Adagio (2000)
Adalat: (1958 & 1976)
Adalat o Ekti Meye (1981)
Adalu Badalu (1979)
Adam: (1983 TV, 1992, 2009, 2019 American, 2019 Moroccan & 2020)
Adam at 6 A.M. (1970)
Adam Bede (1918)
Adam and the Devil (2007)
Adam and Dog (2011)
Adam & Eva (1997)
Adam and Eve: (1923, 1928, 1949, 1953 & 1969)
Adam and Evelyne (1949)
Adam and Evil: (1927 & 2004)
Adam & Paul (2004)
The Adam Project (2022)
Adam and the Serpent (1946)
Adam & Steve (2005)
Adam, Eve and Datsa (2011)
Adam's Apple (1928)
Adam's Apples (2005)
Adam's Rib: (1923, 1949 & 1990)
Adam's Testament (2017)
Adam's Tree (1936)
Adam's Wall (2008)
Adam's Woman (1970)
Adama (2015)
Adaminte Makan Abu (2011)
Adaminte Vaariyellu (1984)
Adanga Maru (2018)
Adanggaman (2000)
Adaptation. (2002)
Adaraneeya Kathawak (2016)
Adarawanthayo (1968)
Adaraye Namayen (2008)
Adarei Man (2018)
The Addams Family: (1991 & 2019)
The Addams Family 2 (2021)
Addams Family Reunion (1998)
Addams Family Values (1993)
Addicted: (2002 & 2008)
Addicted to Love (1997)
The Addiction (1995)
Addiction (2004)
Address Unknown: (1944 & 2001)
Adele (1919)
Adelheid (1970)
Adha Din Aadhi Raat (1977)
Adharm (1992)
Adharmam (1994)
Adharvam (1989)
Adhe Kangal (2017)
Adhe Neram Adhe Idam (2009)
Adhibar (2015)
Adhikar: (1939, 1954, 1971 & 1986)
Adhikaram (1980)
Adhikari (1991)
Adhinayak (2006)
Adhinayakudu (2012)
Adhineta (2009)
Adhipan (1989)
Adhipathi (2001)
Adhisaya Manithan (1990)
Adhisaya Ulagam (2012)
Adhisayappiravigal (1982)
Adhithan Kanavu (1948)
Adhiyar (2003)
Adho Andha Paravai Pola (TBD)
Adholokam (1988)
Adhu (2004)
Adhu Antha Kaalam (1988)
Adhu Oru Kana Kaalam (2005)
Adhugo (2018)
Adhuri Kahani (1939)
Adhurs (2010)
Adhwaytham (1992)
Adhyan (2015)
Adhyapika (1968)
Adhyarathri (2019)
Adhyayam Onnu Muthal (1985)
Adi Shankaracharya (1983)
Adieu l'ami (1968)
Adikkurippu (1989)
Adima Changala (1981)
Adimadhyantham (2011)
Adimai Changili (1997)
Adimai Penn (1969)
Adimai Vilangu (1988)
Adimakal (1969)
Adimakal Udamakal (1987)
Adimakkachavadam (1978)
Adios Amigos (2016)
Adi\xc3\xb3s, Sabata (1971)
Adirindi Alludu (1996)
Adithya Varma (2019)
Adiyozhukkukal (1984)
Adiyum Andamum (2014)
Adjust Your Tracking (2013)
The Adjuster (1991)
The Adjustment Bureau (2011)
Admiral (2008)
Admiral Nakhimov (1947)
Admiral Ushakov (1953)
Admission (2013)
Admissions (2011)
Admission by Guts (2015)
The Adolescent (1979)
Adopt a Highway (2019)
Adoption (1975)
Adoration: (1928, 2008, 2013 & 2019)
Adore (2013)
Adrenaline Rush (2002)
Adrift: (1911, 2009 Brazilian, 2009 Vietnamese, 2018)
Adultery: (1945 & 1989)
Adultery Italian Style (1966)
Adutha Varisu (1995)
Adventure: (1925, 1945 & 2011)
The Adventure of Faustus Bidgood (1986)
The Adventure of Iron Pussy (2003)
The Adventure of Sherlock Holmes' Smarter Brother (1975)
The Adventure of Sudsakorn (1979)
Adventure for Two (1943)
Adventureland (2009)
The Adventurer: (1917 & 1928)
The Adventurers: (1951 & 1970)
The Adventurer: The Curse of the Midas Box (2014)
Adventures in Babysitting: (1987 & 2016 TV)
The Adventures of Baron Munchausen (1988)
The Adventures of Barry McKenzie (1972)
The Adventures of Brer Rabbit (2006)
The Adventures of Buckaroo Banzai Across the 8th Dimension (1984)
Adventures of Captain Fabian (1951)
Adventures of Captain Marvel (1941)
Adventures of a Dentist (1965)
Adventures of Don Juan (1948)
The Adventures of Elmo in Grouchland (1999)
The Adventures of Ford Fairlane (1990)
The Adventures of Frontier Fremont (1976)
The Adventures of Huck Finn (1993)
The Adventures of Huckleberry Finn: (1939 & 1960)
The Adventures of Ichabod and Mr. Toad (1949)
Adventures of Juku the Dog (1931)
The Adventures of Kathlyn (1913)
The Adventures of Mary-Kate & Ashley: The Case of the Christmas Caper (1995)
The Adventures of Mary-Kate & Ashley: The Case of the Fun House Mystery (1994)
The Adventures of Mary-Kate & Ashley: The Case of the Hotel Who-Done-It (1994)
The Adventures of Mary-Kate & Ashley: The Case of the Logical i Ranch (1994)
The Adventures of Mary-Kate & Ashley: The Case of the Mystery Cruise (1995)
The Adventures of Mary-Kate & Ashley: The Case of the SeaWorld Adventure (1995)
The Adventures of Mary-Kate & Ashley: The Case of the Shark Encounter (1995)
The Adventures of Mary-Kate & Ashley: The Case of Thorn Mansion (1994)
The Adventures of Mary-Kate & Ashley: The Case of the U.S. Space Camp Mission (1997)
The Adventures of Mary-Kate & Ashley: The Case of the United States Navy Adventure (1997)
The Adventures of Mary-Kate & Ashley: The Case of the Volcano Mystery (1997)
The Adventures of Milo and Otis (1989)
Adventures of Nils Holgersson (1962)
Adventures of Omanakuttan (2017)
Adventures of the Penguin King (2013)
Adventures of Petrov and Vasechkin, Usual and Incredible (1983)
The Adventures of Pinocchio (1972, 1996 & unreleased)
Adventures of a Plumber's Mate (1978)
The Adventures of Pluto Nash (2002)
Adventures of Power (2008)
The Adventures of Prince Achmed (1926)
The Adventures of Priscilla, Queen of the Desert (1994)
Adventures of a Private Eye (1977)
Adventures of the Queen (1975 TV)
Adventures of Red Ryder (1940)
The Adventures of Rex and Rinty (1935)
Adventures of Ricky Deen (TBD)
Adventures of the Road-Runner (1964)
The Adventures of Robin Hood (1938)
Adventures of Robinson Crusoe, a Sailor from York (1982)
The Adventures of Rocky and Bullwinkle (2000)
Adventures of Rusty (1945)
Adventures of Serial Buddies (2011)
The Adventures of Sharkboy and Lavagirl in 3-D (2005)
The Adventures of Sherlock Holmes (1939)
Adventures of Sherlock Holmes; or, Held for Ransom (1905)
The Adventures of Sinbad 2 (2014)
Adventures of Sinbad the Sailor (1974)
Adventures of Sir Galahad (1949)
Adventures of Tarzan (1985)
Adventures of a Taxi Driver (1976)
The Adventures of Tintin: The Secret of the Unicorn (2012)
The Adventures of Tom Sawyer (1938)
The Adventures of Tom Thumb and Thumbelina (2002)
The Adventures of a Two-Minute Werewolf (1985)
Adventures in Wild California (2000)
The Adventures of the Wilderness Family (1975)
Adventures of William Tell (1898)
Adventures of the Yellow Suitcase (1970)
Advise & Consent (1962)
Adwa (1999)
Adyaksha in America (2019)
Ae Dil Hai Mushkil (2016)
Ae Fond Kiss... (2004)
Ae Jugara Krushna Sudama (2003)
Ae Kaash Ke Hum (2020)
Aedan (2018)
Aeg elada, aeg armastada (1976)
Aegri Somnia (2008)
Aelita (1924)
Aelita, Do Not Pester Men! (1988)
Aera! Aera! Aera! (1972)
Aerial Anarchists (1911)
An Aerial Joy Ride (1917)
An Aerial Joyride (1916)
Aerials (2016)
Aerograd (1935)
The Aeronauts (2019)
Aesop's Film Fables (1921)
Aetbaar (2004)
Aethiree (2004)
\xc3\x86on Flux (2005)
An Affair (1998)
The Affair of the Necklace (2001)
An Affair to Remember (1957)
Affair with a Stranger (1953)
The Affair of Susan (1935)
Affair in Trinidad (1952)
The Affairs of Anatol (1921)
Affairs of Cappy Ricks (1937)
The Affairs of Cellini (1934)
The Affairs of Susan (1945)
Afflicted (2013)
The Afflicted (2011)
Affliction: (1996 & 1997)
Afghan Breakdown (1990)
Aflatoon (1997)
Africa Screams (1949)
Africa: The Serengeti (1994)
African Cats (2011)
The African Queen (1951)
After: (2012 & 2019)
After All (2006)
After All It's Only Life (1993)
After the Apocalypse (2004)
After Dark, My Sweet (1990)
After Death (1988)
After Dusk They Come (2009)
After Earth (2013)
After Everything (2018)
After the Fox (1966)
After Hours (1985)
After Jimmy (1996)
After Life (1998)
After Midnight: (1927, 1989, 2004, 2014 & 2019)
After Office Hours (1935)
After the Rain (1999)
After the Rehearsal (1984 TV)
After School: (1972 & 2003)
After the Show (1921)
After Stonewall (1999)
After the Storm: (1915, 1928, 1948, 2001 & 2016)
After the Sunset (2004)
After the Thin Man (1936)
After Tonight (1933)
After We Collided (2020)
After We Fell (2021)
After the Wedding: (1962, 2006 & 2019)
After Yang (2021)
After.Life (2009)
Afterglow (1997)
Afterimage (2016)
AfterLife (2003)
Aftermath: (1990, 1994, 2004, 2012, 2014 & 2017)
The Aftermath: (1982 & 2019)
Aftermath: The Remnants of War (2001)
Afterschool (2008)
Aftershock (2010 & 2012)
Against All Odds: (1924, 1984 & 2011)
Against the Dark (2009)
Against the Ropes (2004)
Against The Wall: (1994 TV & 2010)
Against the Wind (1948)
Agantuk (1991)
Agatha (1979)
The Age of Adaline (2015)
The Age of Consent (1932)
Age of Consent (1969)
The Age of Innocence: (1924, 1934 & 1993)
The Age of Insects (1990)
The Age of Pioneers (2017)
The Age of Shadows (2016)
Age of Success (1988)
Age of Uprising: The Legend of Michael Kohlhaas (2013)
Agent Cody Banks (2003)
Agent Cody Banks 2: Destination London (2004)
Agent F.O.X. (2015)
Agent Carter (2013)
Agent for H.A.R.M. (1966)
Agent Orange (2004)
Agent Vinod: (1977 & 2012)
Agent Wild Duck (2002)
The Ages of Lulu (1990)
Aggar (2007)
The Aggressives: (2005 American & 2005 South Korean)
Agneepath: (1990 & 2012)
Agnes (2021)
Agnes of God (1985)
Agnes and His Brothers (2004)
Agni Sakshi: (1982, 1996 & 1999)
Agony: (1981 & 2020)
The Agony and the Ecstasy (1965)
Agora (2009)
Aguirre, the Wrath of God (1972)
Agustina of Aragon: (1929 & 1950)
Ah! Nomugi Toge (1979)
Ah, Wilderness! (1935)
Ahasin Wetei (2009)
Ahista Ahista: (1981 & 2016)
Ahingsa-Jikko mee gam (2005)
Ah\xc3\xad est\xc3\xa1 el detalle (1940)
Ahora o nunca (2015)
Ai City (1986)
Ai Weiwei: The Fake Case (2013)
Ai Weiwei: Never Sorry (2012)
Ai-Fak (2004)
Aida: (1953 & 1987)
Aikatsu! The Movie (2014)
Aikatsu! Music Award: Minna de Sh\xc5\x8d o MoraimaSHOW! (2015)
Aileen Wuornos: The Selling of a Serial Killer (1992)
Aileen: Life and Death of a Serial Killer (2003)
Aim\xc3\xa9e & Jaguar (1999)
Ain't Them Bodies Saints (2013)
Aina: (1977 & 2013)
Air America (1990)
Air Bud (1997)
Air Bud Spikes Back (2003)
Air Buddies (2006)
Air Bud: Golden Receiver (1998)
Air Bud: Seventh Inning Fetch (2002)
Air Bud: Spikes Back (2003)
Air Bud: World Pup (2000)
Air Force (1943)
Air Force One (1997)
The Air I Breathe (2007)
Air Raid Wardens (1943)
The Air Up There (1994)
Airborne: (1962 & 1993)
Airheads (1994)
Airlift (2016)
Airplane! (1980)
Airplane II: The Sequel (1982)
Airport: (1970, 1993 & 2009)
Airport '77 (1977)
Airport 1975 (1974)
Airspeed (1998)
The Airzone Solution (1993)
Aisha (2010)
Aitraaz (2004)
Ajab Gazabb Love (2012)
Ajab Prem Ki Ghazab Kahani (2009)
Ajay: (1996 & 2006)
Ajnabee: (1974 & 2001)
Ajooba (1991)
Ajooba Kudrat Ka (1991)
AKA (2002)
Akasha Gopuram (2006)
Akayla (1991)
Akbar-Jodha (2007)
Akele Hum Akele Tum (1995)
Akira: (1988, 2016 Hindi, 2016 Kannada)
Akkada Abbai Ikkada Ammayi (1996)
Akkare Akkare Akkare (1990)
Akhiyon Se Goli Maare (2002)
Akrobatisches Potpourri (1895)
Akropol (1995)
Aks: (2001 & 2018)
Aksar (2006)
L'\xc3\x82ge d'Or (1930)
\xc3\x81guila o sol (1937)
Al Franken: God Spoke (2006)
Al Haram (1965)
Al-Kompars (1993)
Al-Lail (1992)
Ala-Arriba! (1942)
Aladdin (Golden Films, 1992)
Aladdin and His Wonderful Lamp (1939)
Aladdin: (1992 & 2019)
Aladdin and the King of Thieves (1996)
Alag (2006)
Alai (2003)
Alaipayuthey (2000)
Alam Ara (1931)
Alambrado (1991)
Alambrista! (1977)
The Alamo: (1936, 1960 & 2004)
The Alamo: 13 Days to Glory (1987 TV)
Alan and Naomi (1992)
An Alan Smithee Film: Burn Hollywood Burn (1998)
Alarm Bells (1949)
The Alarmist (1997)
Alas de Mariposa (1991)
Alaska: (1944, 1996)
Alaska: Spirit of the Wild (1997)
Alatriste (2006)
Albela: (1951, 1971 & 2001)
Albert (2016)
Albert Nobbs (2011)
Albert RN (1953)
Albino Alligator (1996)
The Alchemist Cookbook (2016)
Alegre Ma Non Troppo (1994)
Aletta Jacobs: Het Hoogste Streven (1995)
Alex Cross (2012)
Alex and Emma (2003)
Alexander: (1996, 2004 & 2008)
Alexander the Great: (1956 & 2010)
Alexander the Last (2009)
Alexander Nevsky (1938)
Alexander Popov (1949)
Alexander's Ragtime Band (1938)
Alexandra's Project (2003)
Alexandria (2005)
Alfalfa's Aunt (1939)
Alfie: (1966 & 2004)
Alfie Darling (1975)
Alfonsina (1957)
Algiers (1938)
Algol: Tragedy of Power (1920)
Ali (2001)
Ali Baba Bujang Lapok (1960)
Ali Baba Goes to Town (1937)
Ali G Indahouse (2002)
Ali Zaoua: Prince of the Streets (2000)
Ali: Fear Eats the Soul (1974)
Alias Jesse James (1959)
Alias Nick Beal (1949)
Alias the Night Wind (1923)
Alibaba and the Thief (2015)
Alibaba Aur 40 Chor: (1954, 1966 & 1980)
Alibi: (1929, 1931, 1942 & 1969)
The Alibi (2006)
Alice: (1982, 1988, 1990, 2002, 2005, 2012 & TBD)
Alice Adams (1935)
Alice in the Cities (1974)
Alice Doesn't Live Here Anymore (1974)
Alice and Martin (1998)
Alice Through the Looking Glass: (1987, 1998 TV & 2016)
Alice in Wonderland: (1903, 1915, 1931, 1933, 1949, 1951, 1966, 1976, 1985 TV, 1988, 1999 TV, 2005 & 2010)
Alice of Wonderland in Paris (1966)
Alice's Adventures in Wonderland: (1910 short & 1972)
Alice's Restaurant (1969)
Alice, Sweet Alice (1976)
Alicia (1974)
Alien (1979)
Aliens (1986)
Alien 3 (1992)
Alien Resurrection (1997)
Prometheus (2012)
Alien: Covenant (2017)
Alien 2: On Earth (1980)
Alien Abduction: (2005 & 2014)
Alien Adventure (1999)
Alien Apocalypse (2005 TV)
Alien Autopsy (2006)
Alien Contamination (1980)
Alien Dead (1980)
The Alien Encounters (1979)
Alien Hunter (2003) (TV)
Alien Intruder (1993)
Alien Lockdown (2004) (TV)
Alien Love Triangle (2008)
Alien Nation (1988)
Alien Nation: Body and Soul (1995)
Alien Nation: Dark Horizon (1994)
Alien Nation: The Enemy Within (1996)
Alien Nation: Millennium (1996)
Alien Nation: The Udara Legacy (1997)
Alien vs. Predator (2004)
Aliens vs. Predator: Requiem (2007)
Alienator (1989) (TV)
Aliens in the Attic (2009)
Aliens of the Deep (2005)
Alila (2003)
Alison's Birthday (1981)
Alissa in Concert (1990)
Alita: Battle Angel (2019)
Alive: (1993, 2002, 2006, 2014 & 2020)
Alive: 20 Years Later (1993)
All About Anna (2005)
All About the Benjamins (2002)
All About Eve (1950)
All About Lily Chou-Chou (2001)
All About My Mother (1999)
All About Steve (2009)
All About Women (2008)
All Apologies (2012)
All the Boys Are Called Patrick (1957)
All the Boys Love Mandy Lane (2006)
All the Colors of the Dark (1972)
All Creatures Great and Small (1974)
An All Dogs Christmas Carol (1998)
All Dogs Go to Heaven (1989)
All Dogs Go to Heaven 2 (1996)
All Fall Down (1962)
All Good Things (2010)
All Hell Broke Loose (1995)
All I Want (2002)
All I Want for Christmas (1991)
All Is Well: (2011, 2015 & 2018)
All Is Lost (2013)
All Is True (2018)
All the Invisible Children (2005)
All the King's Men: (1949, 1971 TV, 1999 TV & 2006)
All Ladies Do It (1992)
All of Me: (1934 & 1984)
All Men Are Mortal (1995)
All Monsters Attack (1969)
All My Babies (1953)
All My Compatriots (1968)
All My Lenins (1997)
All My Life: (1966, 2004, 2008 & 2020)
All My Loved Ones (1999)
All My Sons (1948)
All Night Long: (1962 & 1981)
All Night Long (1992)
All Night Long 2 (1995)
All Night Long 3 (1996)
All or Nothing (2002)
All Over the Guy (2001)
All Over Me (1997)
All the Best (2009)
All the President's Men (1976)
All the Pretty Horses (2000)
All the Queen's Men (2001)
All Quiet on the Western Front: (1930 & 1979)
All the Real Girls (2003)
All the Right Moves (1983)
All Roads Lead Home (2008)
All Roads Lead to Rome: (1949 & 2015)
All Roads to Pearla (2019)
All Souls Day (2005)
All That Falls Has Wings (1990)
All That Heaven Allows (1955)
All That Jazz (1979)
All These Sleepless Nights (2016)
All These Women (1964)
All Things Fair (1995)
All This and Rabbit Stew (1941)
All This, and Heaven Too (1940)
All Through the Night (1941)
All Together Now (2008)
All Under the Moon (1993)
All for the Winner (1990)
All You Need Is Cash (1978)
All You Need Is Love (2015)
All's Well, Ends Well (1992)
All's Well, Ends Well Too (1993)
All-American Murder (1992)
Allan Quatermain and the Lost City of Gold (1987)
Allari Bullodu (2005)
Allegro Non Troppo (1977)
Allende en su laberinto (2014)
Alles auf Zucker! (2004)
Alley Cats Strike (2000) (TV)
Allied (2016)
Alligator (1980)
Alligator II: The Mutation (1990)
The Allnighter (1987)
All-Star Weekend (TBD)
Alluda Majaka (1995)
Almanac of Fall (1984)
Almost An Angel (1990)
Almost Christmas (2016)
Almost Famous (2000)
Almost Friends: (2014 & 2016)
Almost a Gentleman: (1938 & 1939)
Almost Heroes (1998)
Almost Human: (1927, 1974 & 2013)
Almost Love (2006)
Almost Married: (1919, 1932 & 1942)
Almost Paris (2016)
Almost Summer (1978)
Almost There (2014)
Almost You (1985)
Aloha (2015)
Alone: (2015 Hindi & 2015 Kannada)
Alone in Berlin (2016)
Alone in the Dark: (1982 & 2005)
Along Came Polly (2004)
Along Came a Spider (2001)
Along with the Gods: The Last 49 Days (2018)
Along with the Gods: The Two Worlds (2017)
Along the Oregon Trail (1947)
L'Alpagueur (1976)
Alpha Dog (2006)
Alpha and Omega (2010)
Alphabet City (1984)
The Alphabet Killer (2008)
The Alphabet Murders (1965)
Alphaville (1965)
Alps (2011)
The Alps (2007)
Alraune: (1918, 1928, 1930 & 1952)
Alraune, die Henkerstochter, genannt die rote Hanne (1918)
Altar (2014)
Altered (2007)
Altered Species (2001)
Altered States (1980)
Altitude (2010)
Alucarda (1978)
Alvin and the Chipmunks (2007)
Alvin and the Chipmunks Meet Frankenstein (1999)
Alvin and the Chipmunks Meet the Wolfman (2000)
Alvin and the Chipmunks: Chipwrecked (2011)
Alvin and the Chipmunks: Road Trip (2015)
Alvin and the Chipmunks: The Squeakquel (2009)
Alvin Purple (1973)
Always: (1989 & 2011)
Always Sanch\xc5\x8dme no Y\xc5\xabhi (2005)
Alyas Batman en Robin (1993)
Am I Guilty? (1940)
Am I Ok? (2022)
Amadeus (1984)
