A-DATA Technology AO2P24HCST2-BTVS 16GB, 23, 17.9, 13.5, DDR4,
A-DATA Technology AO2P24HCST2-BW8S 16GB, 81, 14, 7, DDR4,
A-DATA Technology AO2P26KC8T1-BC1S 8GB, 31, 13.6, 7.3, DDR4,
A-DATA Technology AO2P26KC8T1-BPYS 8GB, 30, 15.2, 8.9, DDR4,
A-DATA Technology AO2P26KC8T1-BXGSHC 8GB, 33, 15.8, 11.3, DDR4,
A-DATA Technology AO2P32NC8W1-BD3SHC 8GB, 43, 14.7, 10.6, DDR4,
A-DATA Technology AO2P32NCST2-BZ7SHD 16GB, 28, 15, 9.5, DDR4,
A-DATA Technology AO2P32NCSV1-BEVS 16GB, 38, 17.5, 9.5, DDR4,
A-DATA Technology AX4S2800316G18-B 16GB, 25, 15.4, 10.9, DDR4,
A-DATA Technology DDR4 2133 2OZ 8GB, 38, 14, 10.8, DDR4,
A-DATA Technology DDR4 2400 2OZ 8GB, 33, 15.9, 11.8, DDR4,
A-DATA Technology DDR4 2400 16GB, 30, 16.8, 11.5, DDR4,
A-DATA Technology DDR4 2666 2OZ 4GB, 30, 16.7, 12.3, DDR4,
A-DATA Technology DDR4 2666 8GB, 32, 15.5, 11.8, DDR4,
A-DATA Technology DDR4 2800 2OZ 4GB, 33, 16.2, 12.2, DDR4,
A-DATA Technology DDR4 2800 8GB, 21, 19.1, 15.1, DDR4,
A-DATA Technology DDR4 3000 2OZ 8GB, 31, 16.9, 13.1, DDR4,
A-DATA Technology DDR4 3000 8GB, 30, 17, 13.4, DDR4,
A-DATA Technology DDR4 3200 2OZ 4GB, 29, 17.2, 13.8, DDR4,
A-DATA Technology DDR4 3200 8GB, 31, 18.4, 14.4, DDR4,
A-DATA Technology DDR4 3300 2OZ 4GB, 17, 22, 17, DDR4,
A-DATA Technology DDR4 3333 2OZ 4GB, 24, 15.7, 12.3, DDR4,
A-DATA Technology DDR4 3600 2OZ 8GB, 25, 19, 14.9, DDR4,
A-DATA Technology DDR4 3600 8GB, 29, 19.4, 16, DDR4,
A-DATA Technology DDR4 4133 2OZ 8GB, 23, 18.5, 17.8, DDR4,
A-DATA Technology DDR4 4133 8GB, 28, 18.7, 15.7, DDR4,
ACPI Digital Co. Ltd. CMA6-4FA01AAR01A00 4GB, 24, 11.9, 6.3, DDR4,
ADVAN Inc AM42E28UD04T-NVL 4GB, 23, 18.2, 14.4, DDR4,
Advantech Co Ltd SQR-SD4N8G2K6SNBCB 8GB, 30, 16.9, 14.2, DDR4,
Advantech Co Ltd SQR-UD4N16G2K6SNCB 16GB, 30, 18.4, 15.2, DDR4,
AMD R7S44G2606U1S 4GB, 20, 18.9, 14.3, DDR4,
AMD R7S48G2400U2S 8GB, 74, 14.2, 8, DDR4,
AMD R9S48G3206U2S 8GB, 37, 20.6, 13.9, DDR4,
AMD R744G2133U1S 4GB, 29, 13.8, 8.8, DDR4,
AMD R744G2400U1S 4GB, 22, 16.7, 11.6, DDR4,
AMD R744G2400U1S-UO 4GB, 66, 16.7, 8.5, DDR4,
AMD R744G2606U1S 4GB, 76, 15.7, 8.7, DDR4,
AMD R748G2133U2S 8GB, 23, 15.9, 11.4, DDR4,
AMD R748G2133U2S-UO 8GB, 25, 15, 12, DDR4,
