
/rdb, Revolutionary Software; Inc., US, 1984, 2016, Commercial, Bash, BSD; Linux; OS X; Solaris; Windows, Proprietary, 
1010data, US, 2000, Commercial, 
3store, Southampton University, GB, 2003, 2006, Academic; Open Source, C, Supported languages:C, GPL v2, 
4D, Laurent Ribardière, FR, 1984, Commercial, Supported languages:SQL, iOS; OS X; Windows, Proprietary, 
AresDB, Uber, US, 2018, Open Source, C; C++; Go, Linux, Apache v2, 
Assassin, Ender Minyard, US, 2020, Open Source, JavaScript, Supported languages:JavaScript, MIT, 
Aster Data, US, 2005, Commercial, 
AsterixDB, University of California-Irvine and University of California-Riverside, US, 2009, Academic; Open Source, Java, All OS with Java VM, Apache v2, 
Atlas, Netflix, US, 2014, Open Source, Scala, 
AtomicDB, Atomic Information Systems Corporation, US, 2011, Commercial, Supported languages:JavaScript, Windows, Proprietary, 
Aurora, Amazon, US, 2014, Commercial, C, Supported languages:SQL, Hosted, 
AvionDB, DappKit, US;IN, 2020, Commercial; Open Source, JavaScript, MIT, 
Axibase, Axibase Corporation, US, 2004, Commercial, Linux, Proprietary, 
Axion, US, 2002, 2007, Open Source, Java, Supported languages:Java, 
Azure SQL Database, Microsoft, US, 2009, Commercial, C++, Linux; Windows, Proprietary, 
BadgerDB, Dgraph, US, 2017, Open Source, Go, iOS; Linux; Windows, Apache v2, 
Bagri, RU, 2014, Open Source, Java, All OS with Java VM, Apache v2, 
BaikalDB, Baidu, CN, 2018, Open Source, C++, Apache v2, 
BangDB, IQLECT, IN, 2015, Commercial; Open Source, C, Linux, BSD, 
BaseX, DE, 2007, Academic; Open Source, Java, BSD, 
BASIS, BASIS International Ltd., US, Commercial, Proprietary, 
BayesDB, Massachusetts Institute of Technology, US, 2015, Academic; Open Source, Python, Apache v2, 
bbolt, CoreOS, US, 2017, Open Source, Go, MIT, 
Beagle SQL, Robert Klein; Jean-Claude Magras, US, 1996, 1999, Open Source, C++, Supported languages:SQL, 
Bedrock, Expensify, US, 2016, Open Source, C++, Supported languages:C++, Linux; OS X, LGPL v3, 
BergDB, Frans Lundberg, SE, 2013, Open Source, Java, AGPL v3, 
Beringei, Facebook, US, 2015, 2017, Open Source, C++, Supported languages:C++, Linux, BSD, 
Berkeley DB, Sleepycat Software, US, 1994, Commercial; Open Source, Supported languages:C++; Clojure; D; Delphi; Eiffel; Erlang; Go; Haskell; Java; JavaScript; Lisp; Lua; Matlab; Ocaml; Perl; PHP; PL/SQL; Prolog; Python; R; Rebol; Ruby; Scala; Smalltalk; Tcl; Visual Basic, AIX; Android; BSD; DOS; HP-UX; iOS; Linux; OS X; Solaris; VxWorks; Windows; z/OS, AGPL v3; Apache v2, 
BerylDB, Beryl Labs, CL, 2021, Hobby; Open Source, C++, Supported languages:JavaScript; PHP; Python, Linux; OS X, BSD, 
BigchainDB, BigchainDB GmbH, DE, 2015, Commercial; Open Source, Python, Supported languages:JavaScript; Python, Apache v2, 
BigQuery, Google, US, 2010, Commercial, C++; Java; Python, Hosted, Proprietary, 
Bitcask, James Mills, AU, 2019, Open Source, Go, Supported languages:Go, Linux; OS X; Windows, MIT, 
Bitsy, LambdaZen LLC, US, 2013, Open Source, Java, Apache v2, 
BitYota, BitYota, US, 2011, 2015, Commercial, Hosted, Proprietary, 
BlackRay, DE, 2005, 2013, Commercial; Open Source, C++, GPL v2, 
Blazegraph, SYSTAP; LLC., US, 2006, Commercial; Open Source, Java, Supported languages:C; C++; Java; JavaScript; PHP; Python; Ruby, Linux; OS X; Windows, GPL v2, 
BlazingSQL, BlazingDB, PE, 2015, Commercial; Open Source, C++, Supported languages:SQL, Linux, Apache v2; Proprietary, 
BlinkDB, University of California-Berkeley; Massachusetts Institute of Technology, US, 2012, 2014, Academic; Open Source, All OS with Java VM, Apache v2, 
BlobCity, BlobCity iSolutions Pvt. Ltd, IN, 2015, Commercial, Windows, Proprietary, 
Blueflood, Rackspace, US, 2013, Open Source, Java, All OS with Java VM, Apache v2, 
BoJack, Marcelo Boeira, DE, 2016, 2018, Open Source, Crystal, Supported languages:Crystal; Elixir; Python; Ruby, Linux, MIT, 
BoltDB, Ben Johnson, US, 2013, 2017, Open Source, Go, Supported languages:Go, Android; BSD; iOS; Linux; OS X; Solaris; Windows, MIT, 
BonsaiDb, Khonsu Labs, US, 2021, Open Source, Rust, Linux, Apache v2; MIT, 
BrightstarDB, GB, 2012, Open Source, C#, MIT, 
Brytlyt, Brytlyt, GB, 2013, Commercial, C; C++, Supported languages:C; C++; Delphi; Java; Perl; Python; Tcl, Linux; OS X; Windows, Proprietary, 
BTDB, Boris Letocha, CZ, 2010, Open Source, C#, Supported languages:C#, MIT, 
BTrDB, University of California; Berkeley, US, 2014, Academic; Open Source, Go, GPL v3, 
Btrieve, Actian, US, 1982, Commercial, DOS; Linux; Windows, 
Bubba, US, 1990, Academic, 
BuntDB, Josh Baker, US, 2016, Open Source, Go, Supported languages:Go, MIT, 
BusTub, Carnegie Mellon University, US, 2019, Academic; Open Source, C++, Linux; OS X; Windows, MIT, 
C-Store, Massachusetts Institute of Technology; Brown University, US, 2005, 2008, Academic; Open Source, C++, Supported languages:C++, Linux, BSD, 
Caché, InterSystems, US, 1997, Commercial, Supported languages:C#; C++; Java; Perl; Python, Proprietary, 
Calvin, Yale University, US, 2012, 2015, Academic; Open Source, C++, Linux, 
Cassandra, Apache Software Foundation, US, 2008, Open Source, Supported languages:Java; Python, Linux; OS X; Windows, Apache v2, 
CastleDB, Nicolas Cannasse, FR, 2012, Open Source, Haxe, ISC License, 
Cayley, Google, US, 2014, Open Source, Go, Apache v2, 
cdb, D. J. Bernstein, US, 2000, Open Source, Supported languages:Java; Lua; Perl; Python, Public Domain, 
chaozzDB, Elmar Wenners, NL, 2008, Hobby; Open Source, PHP, Supported languages:PHP, Creative Commons License, 
Cheetah, PlanetSquires Software, CA, 2005, 2012, Open Source, Visual Basic, Windows, GPL v2, 
CheetahDB, University of South Florida, US, 2018, Commercial, Proprietary, 
Chronicle Map, Chronicle Software, GB, 2014, Commercial; Open Source, Java, All OS with Java VM, LGPL v3, 
Chronix, QAware, DE, 2015, Commercial; Open Source, Java, Supported languages:Java, Apache v2, 
Citus, Citus Data, US;TR, 2010, Commercial; Open Source, C, AGPL v3, 
ClearDB, ClearDB Inc, US, 2010, Commercial, C++, Linux; Windows, Proprietary, 
ClickHouse, Yandex, RU, 2016, Commercial; Open Source, C++, Supported languages:C; C#; C++; Go; Java; Kotlin; Scala, Linux, Apache v2, 
Cloud BigTable, Google, US, 2005, Commercial, Supported languages:C++, Linux, 
Cloud Datastore, Google, US, Commercial, Hosted, Proprietary, 
Cloud Firestore, Google, US, Commercial, Hosted, Proprietary, 
Cloud Memorystore, Google, US, Commercial, Hosted, Proprietary, 
Cloud Spanner, Google, US, 2007, Commercial, Supported languages:Go; Java; JavaScript; Python, Hosted, Proprietary, 
Cloud SQL, Google, US, Commercial, Hosted, Proprietary, 
Cloudant, Cloudant, US, 2008, Commercial, 
CloudKit, US, 2008, 2011, Open Source, MIT, 
CloudSearch, Amazon, US, 2012, Commercial, Hosted, 
Clusterpoint, Clusterpoint Ltd., LV, 2006, 2017, Commercial, Hosted, Proprietary, 
Clustrix, Clustrix; Inc., US, 2006, Commercial, C, Supported languages:SQL, Linux, Proprietary, 
CockroachDB, Cockroach Labs, US, 2014, Commercial; Open Source, Go, Supported languages:Go, Linux; OS X; Windows, Business Source License, 
CodernityDB, Codernity.com, PL, 2011, Open Source, Python, Apache v2, 
CoGaDB, TU Berlin, DE, 2012, 2020, Academic; Open Source, C++, Linux, GPL v3, 
CogDB, Arun Mahendra, CA, 2017, Hobby; Open Source, Python, Supported languages:Python, MIT, 
Coherence, Tangosol Inc., US, 2000, Commercial, Java, Proprietary, 
Column, Roman Atachiants, AE, 2021, Hobby; Open Source, Go, Supported languages:Go, Linux, MIT, 
Comdb2, Bloomberg, US, 2004, Open Source, C, Apache v2, 
Compass, Shay Banon, GB, 2006, 2009, Open Source, Java, Supported languages:Java, OS X, Apache v2, 
ConceptBase.cc, University of Skövde; University of Aachen, DE;SE, 1995, Academic; Open Source, BSD, 
Concourse, Cinchapi Inc., US, 2012, Commercial; Open Source, Java, Apache v2, 
Condensation, CH, 2020, Open Source, Java, Supported languages:Java, Apache v2, 
ConfluxDB, University of Waterloo, CA, 2014, Academic, 
Consus, Cornell University, US, 2015, Academic; Open Source, C++, BSD, 
Consus (Java), Konstantin Knizhnik, RU, 2004, Open Source, Java, Supported languages:Java, BSD, 
CORAL, University of Wisconsin, US, 1988, 1997, Academic; Open Source, C++, Supported languages:C++, 
CoreObject, Étoilé Project, FR, 2007, Academic; Open Source, Objective-C, Supported languages:Objective-C, iOS; OS X, MIT, 
CornerStone, Infocom, US, 1985, 1989, Commercial, DOS, Proprietary, 
CortexDB, Cortex AG, DE, 2014, Commercial, Proprietary, 
Cosmos DB, Microsoft, US, 2015, Commercial, C++, Supported languages:C#; Go; Java; JavaScript; Python, Windows, Proprietary, 
Couchbase, Couchbase; Inc., US, 2010, Commercial; Open Source, C; C++; Erlang; Go, Supported languages:C; C#; Go; Java; JavaScript; PHP; Python, Linux; OS X; Windows, Apache v2, 
CouchDB, Damien Katz, US, 2005, Open Source, Erlang, Supported languages:C; C#; Erlang; Haskell; Java; JavaScript; Lisp; Lua; Objective-C; Ocaml; Perl; PHP; PL/SQL; Python; Ruby; Smalltalk, Android; BSD; iOS; Linux; OS X; Solaris; Windows, Apache v2, 
CovenantSQL, Covenant Labs, CN, 2018, Commercial; Open Source, Go, Supported languages:Go; Java; JavaScript; Python; SQL, Linux; OS X, Apache v2, 
CQL++, Machine Independent Software Corporation, US, 1994, 2011, Commercial; Open Source, C++, Supported languages:C++, Linux; Windows, GPL v2; Proprietary, 
CrateDB, Crate.io, AT, 2014, Commercial; Open Source, Java, All OS with Java VM, Apache v2, 
Crescando, ETH Zurich, CH, 2009, 2015, Academic, 
CrowdDB, University of California-Berkeley, US, 2011, 2013, Academic, 
CSQL, LAKSHYA Solutions Limited, IN, 2005, 2008, Commercial; Open Source, Supported languages:SQL, GPL v2, 
CubicWeb, Logilab, FR, 2000, Open Source, Python, LGPL v2, 
Cubrick, Facebook, US, 2016, Industrial Research, Proprietary, 
Cubrid, Naver Corporation, KR, 2008, Open Source, C, Supported languages:C; Java; JavaScript; Perl; PHP; Python; Ruby, Linux; Windows, BSD; GPL v2, 
CurioDB, Stephen McDonald, AU, 2015, Open Source, Scala, Linux, BSD, 
D3, Raining Data Corporation, US, 1999, Commercial, Linux; Windows, 
Daffodil DB, Daffodil Software Limited, IN, 2003, 2012, Commercial, Java, All OS with Java VM, Proprietary, 
DaggerDB, DaggerDB, SE, 2014, Commercial, Supported languages:C#, Windows, 
DalmatinerDB, Project FiFo, DE, 2014, Open Source, Erlang, MIT, 
dashDB, IBM, US, 2014, Commercial, Hosted, Proprietary, 
Databend, Datafuse Labs, CN, 2020, Commercial; Open Source, Rust, Hosted; Linux, Apache v2, 
DataBlitz, Bell Labs, US, 1993, Industrial Research, Proprietary, 
DataEase, Software Solutions Inc., US, 1981, Commercial, 
Datahike, lambdaforge UG, DE, 2018, Open Source, Clojure, Eclipse Public License, 
DATAllegro, DATAllegro; Inc., US, 2003, 2008, Commercial, Proprietary, 
Datameer, US, 2009, Commercial, 
Datascope, Boulder Real Time Technologies; Inc., US, 1996, Academic; Commercial, Supported languages:C; Perl; Tcl, 
DataScript, Nikita Prokopov, RU, 2014, Open Source, Clojure, Eclipse Public License, 
DataStax, DataStax; Inc., US, 2010, Commercial, Proprietary, 
Dataupia, Dataupia Corporation, US, 2005, 2011, Commercial, Linux, Proprietary, 
Datomic, Cognitect; Inc., US, 2012, Commercial, Clojure, Supported languages:Clojure; Java, All OS with Java VM; Hosted, Proprietary, 
Db2, IBM, US, 1983, Commercial, C; C++, Linux; OS X; Windows; z/OS, Proprietary, 
DB4IoT, Moonshadow Mobile; Inc., US, 2016, Commercial, Hosted, Proprietary, 
db4o, db4objects Inc., US, 2000, 2014, Commercial; Open Source, All OS with Java VM; Windows, GPL v2; Proprietary, 
dBASE, Ashton-Tate, US, 1979, Commercial, Proprietary, 
DBIX, Halcyon Software; Inc., US, 1996, 1999, Commercial, Solaris; Windows, 
DBMaker, The SYSCOM Group, TW, 1994, Commercial, Supported languages:COBOL; Java, Linux; Windows, 
DBMS-20, DEC, US, Commercial, Proprietary, 
DBreeze, Alexey Solovyov, DE, 2012, Open Source, C#, Linux; OS X; Windows, BSD, 
DBx1000, Massachusetts Institute of Technology; Carnegie Mellon University, US, 2014, Academic; Open Source, Assembly; C++, Supported languages:C++, Linux, ISC License, 
DeepDB, Deep Information Sciences; Inc., US, 2010, 2017, Commercial; Open Source, C++, AGPL v3; Proprietary, 
DegDB, Tristan Rice, CA, 2015, Open Source, Go, MIT, 
Delta Lake, DataBricks, US, 2019, Commercial; Open Source, Scala, Supported languages:Java; Python; Scala; SQL, Apache v2, 
DensoDB, Paolo Possanzini, IT, 2012, 2013, Open Source, C#, 
Derby, Cloudscape Inc., US, 1997, Open Source, Java, Supported languages:Java, All OS with Java VM, Apache v2, 
DGraph, DGraph Labs; Inc, US, 2015, Commercial; Open Source, Go, Supported languages:Go, Linux; OS X, Apache v2, 
DiggyDB, Nicholas Martin, GB, 2021, Hobby, JavaScript, Supported languages:JavaScript, Linux, 
DIRECT, University of Wisconsin, US, 1978, 1982, Academic, 
DittoBitto, Hankook Database, KR, 2001, Commercial, Proprietary, 
Djondb, Djondb, CO, 2012, 2017, Commercial, Linux; OS X; Windows, 
DMSII, US, 1972, Commercial, Proprietary, 
DocumentDB, Amazon, US, 2019, Commercial, Hosted, Proprietary, 
DolphinDB, DolphinDB; Inc., CN, 2018, Commercial, C++, Linux; Windows, Proprietary, 
Dolt, DoltHub Inc, US, 2018, Open Source, Go, Linux; OS X; Windows, Apache v2, 
Doris, Baidu, CN, 2017, Open Source, C++, Linux, Apache v2, 
Dqlite, Canonical, 2017, Open Source, C, Supported languages:C, Apache v2, 
Dremio, Dremio, US, 2015, Commercial; Open Source, Java, Hosted; Linux, Apache v2, 
Drill, Apache Foundation, US, 2012, Open Source, Java, Supported languages:C; C#; C++; Java; JavaScript; Perl; Python, Linux; OS X; Windows, Apache v2, 
Drizzle, US, 2008, 2012, Open Source, C++, BSD; GPL v2; GPL v3, 
Druid, Metamarkets, US, 2011, Open Source, Java, Supported languages:Clojure; Java; JavaScript; PHP; Python; R; Ruby; Scala, AIX; BSD; Hosted; HP-UX; Linux; OS X; Solaris, Apache v2, 
DuckDB, CWI, NL, 2018, Academic; Open Source, C++, Linux, MIT, 
DyBASE, Konstantin Knizhnik, RU, Open Source, C++, Supported languages:PHP; Python; Rebol; Ruby, 
Dydra, Datagraph; Inc., DE, 2010, Commercial, Hosted, Proprietary, 
DynamoDB, Amazon, US, 2012, Commercial, Java, Supported languages:C++; Go; JavaScript; PHP; Python; Ruby; Swift, Hosted, Proprietary, 
DynomiteDB, Netflix, US, 2012, Open Source, C, Apache v2, 
EaseDB, Alexander Shakhmatov, RU, 2013, 2014, Open Source, Ruby, MIT, 
EasyDB, Tyson Battistella; Jake Cooper, US, 2019, Commercial, Supported languages:JavaScript; Python, Hosted, Proprietary, 
EcoDB, EcoDB Corporation, CA, 2018, Commercial, Linux; Windows, Proprietary, 
EDB Postgres Advanced Server, EnterpriseDB, US, 2005, Commercial, 
EdgeDB, MagicStack, CA, 2018, Open Source, 
EdgelessDB, Edgeless Systems, DE, 2021, Commercial; Open Source, GPL v2, 
Edis, Chad DePue, US, 2010, Open Source, Erlang, 
EffiProz, EffiProz LLC, US, 2012, Commercial; Open Source, C#, Supported languages:C#, Windows, 
Ehcache, Terracotta; Inc., US, 2003, Open Source, Java, Supported languages:Java, All OS with Java VM, Apache v2, 
EJDB, Softmotions, RU, 2012, Open Source, C, Supported languages:C; C++; Dart; Java; JavaScript; Kotlin; Swift, Android; BSD; iOS; Linux; OS X; Windows, MIT, 
Elara DB, Saurabh Pujari, IN, 2021, Hobby; Open Source, Python, Supported languages:Python, BSD, 
ElaSQL, National Tsing Hua University, TW, 2016, Academic; Open Source, Java, Apache v2, 
Elasticsearch, Elasticsearch BV, US, 2004, Open Source, Java, Supported languages:Java; Python, All OS with Java VM, Apache v2, 
ElephantDB, Nathan Marz, US, 2011, Open Source, Clojure, BSD, 
ElevateDB, Elevate Software; Inc., US, 2006, Commercial, SQL, Supported languages:C++, Proprietary, 
Elevator, Théo Crevon, DE, 2012, Open Source, MIT, 
EliasDB, Matthias Ladkau, GB, 2016, Open Source, Go, Mozilla Public License, 
Elliptics, Reverbrain, RU, 2009, Commercial; Open Source, C++; Python, Supported languages:C; C++; Python, Linux, LGPL v3, 
Eloquera, Eloquera Corp., AU, 2008, 2017, Commercial, C#, Supported languages:SQL, Windows, Proprietary, 
Empress, Empress Software Inc., CA, 1979, Commercial, Proprietary, 
Encompass, Tandem, US, 1981, Commercial, 
Endeca, Endeca, US, 1999, 2013, Commercial, Proprietary, 
EnnoDB, Enno Rehling, NO, 2012, 2016, Hobby; Open Source, C, Linux, ISC License, 
EraDB, Finite Automata; Inc., US, 2019, Commercial, Rust, Proprietary, 
EsgynDB, Esgyn, US, 2015, 2020, Commercial, C++; Java, Supported languages:C; C#; C++; Java; PL/SQL; SQL, Linux, 
Espresso, LinkedIn, US, 2011, Internal / Non-Public, Java, Supported languages:Java, All OS with Java VM, 
Essbase, Arbor Software, US, 1992, Commercial, Proprietary, 
etcd, CoreOS, US, 2013, Open Source, Go, Linux, Apache v2, 
EuclidesDB, Christian S. Perone, PT, 2018, Open Source, C++, Supported languages:Python, Linux; OS X, Apache v2, 
Eva, Workiva, NL, Clojure, Eclipse Public License, 
EVCache, Netflix, US, 2012, Open Source, Apache v2, 
Event Store, Event Store LLP, GB, 2012, Commercial; Open Source, C#; C++; JavaScript, Windows, BSD, 
EventQL, DeepCortex GmbH, DE;NL, 2014, 2017, Commercial; Open Source, C++, AGPL v3, 
Exasol, Exasol AG, DE, 2000, Commercial, Supported languages:Java; Lua; Python; R, Linux, Proprietary, 
eXist-db, eXist Solutions GmbH, DE, 2000, Commercial; Open Source, Java, LGPL v2, 
Exorbyte, exorbyte GmbH, DE, 2000, 2017, Commercial, Proprietary, 
Express, Information Resources; Inc., 1970, 2003, Commercial, HP-UX; OpenVMS; Solaris; Windows, Proprietary, 
eXtremeDB, McObject LLC, US, 2001, Commercial, C; C++, Supported languages:C; C#; C++; Java; Lua; Python; Rust; SQL, AIX; All OS with Java VM; Android; HP-UX; iOS; Linux; QNX; Solaris; VxWorks; Windows, Proprietary, 
EyeDB, Genethon Laboratories, FR, 1992, 2014, Academic; Open Source, C++, Supported languages:C++; Java, LGPL v2, 
eyros, bits.coop, US, 2018, Open Source, Rust, Supported languages:Rust, Parity Public License, 
FairCom DB, FairCom Corporation, US, 1984, Commercial, C, HP-UX; Linux; VxWorks; Windows, Proprietary, 
Falcon, Sun Microsystems, US, 2006, 2010, Commercial; Open Source, 
Fallen-8, Henning Rauch, DE, 2011, Hobby; Open Source, C#, MIT, 
FastDB, Konstantin Knizhnik, RU, 2011, Open Source, C++, BSD; Linux; Solaris; Windows, 
FASTER, Microsoft, US, 2018, Commercial; Open Source, C#; C++, Supported languages:C#; C++, MIT, 
FastObjects, Actian, DE, 1993, Commercial, C++, Proprietary, 
FatDB, FatCloud, US, 2012, 2014, Commercial, C#, 
FathomDB, FathomDB, US, 2009, 2014, Commercial, Hosted, 
FaunaDB, Fauna Inc., US, 2012, Commercial, Scala, Supported languages:C#; Go; Java; JavaScript; Python; Scala, All OS with Java VM; Hosted, Proprietary, 
FileDB, Mauricio David, BR, 2015, Open Source, C#, Windows, MIT, 
FileMaker, Nashoba Systems, US, 1985, Commercial, Supported languages:Java; JavaScript; PHP; PL/SQL; Python; SQL, Hosted; iOS; Linux; OS X; Windows, Proprietary, 
FiloDB, Evan Chan, US, 2015, Open Source, Scala, Apache v2, 
FinchDB, Finch Computing, US, 2015, Commercial, Proprietary, 
FineDB, Amaury Bouchard, FR, 2013, Open Source, C, Apache v2, 
Firebase, Firebase; Inc., US, 2011, Commercial, Proprietary, 
Firebird, Borland, US, 2000, Open Source, C; C++, Supported languages:C; C++; Delphi; Java; Perl; PHP; Python, Linux; OS X; Solaris; Windows, Mozilla Public License, 
Firebolt, IL, 2020, Commercial, Hosted, Proprietary, 
FirstSQL/J, FirstSQL Software, US, 2001, Commercial, Java, Supported languages:Java, All OS with Java VM, Proprietary, 
FlashDB, Armink, CN, 2020, Hobby; Open Source, C, Apache v2, 
FleetDB, Mark McGranaghan, US, 2009, 2014, Academic; Open Source, Clojure, MIT, 
FlockDB, Twitter, US, 2010, 2017, Open Source, Scala, Apache v2, 
Fluree, Fluree; PBC, US, 2017, Commercial; Open Source, Clojure, Supported languages:Clojure; JavaScript, All OS with Java VM, AGPL v3, 
ForestDB, Couchbase; Inc., US, 2013, Open Source, C++, Supported languages:C++; Go; Java; Objective-C; Python, Android; iOS; Linux; OS X; Windows, Apache v2, 
FoundationDB, FoundationDB, US, 2009, Open Source, C++, Apache v2, 
FoxPro, Fox Software, US, 1984, 2000, Commercial, C++, DOS; Windows, Proprietary, 
FramerD, MIT Media Lab, US, 1996, 2005, Academic; Open Source, C, Linux; OS X; Windows, GPL v2, 
FrontBase, FrontBase; Inc., DK, 1993, Commercial, C, Supported languages:SQL, BSD; Linux; OS X; Solaris; Windows, Proprietary, 
FuelDB, Joris Basiglio, FR, 2014, Open Source, Java, Supported languages:JavaScript, Linux, MIT, 
Gadfly, Aaron Watters, US, 1994, 2013, Open Source, Python, Python License, 
Gaffer, Government Communications Headquarters, GB, 2016, Open Source, Java, All OS with Java VM, Apache v2, 
Galaxybase, Zhejiang Chuanglin Technology Co., CN, 2013, Commercial, Java, All OS with Java VM, Proprietary, 
GAMMA, University of Wisconsin, US, Academic, 
GaussDB, Huawei, CN, 2011, Commercial, Hosted, Proprietary, 
GBase, Tianjin Nanda General Data Technology Co., CN, 2010, Commercial, Proprietary, 
GemFire, Pivotal, US, Commercial, 
GemStone/S, GemTalk Systems, US, 1986, Commercial, Smalltalk, AIX; Linux; OS X; Solaris, Proprietary, 
GenieDB, US, 2008, 2015, Commercial, Proprietary, 
Genji, Asdine El Hrychy, AE, 2018, Open Source, Go, 
GenomicsDB, Intel Labs, US, 2016, Industrial Research, C++, Linux, MIT, 
Geode, Apache, US, 2015, Open Source, Java, Supported languages:C#; C++; Groovy; Java; Python; Scala, All OS with Java VM, Apache v2, 
GeoSpock DB, GeoSpock, GB, 2013, Commercial, Hosted, Proprietary, 
GhostDB, Jake Grogan, IE, 2020, Open Source, Go, Linux, BSD, 
GigaBASE, Konstantin Knizhnik, RU, Open Source, C++, 
GlobalsDB, InterSystems, US, 2011, 2015, Commercial, Java, Supported languages:C#; Java; JavaScript, All OS with Java VM; Linux; OS X; Windows, Proprietary, 
GNU SQL Server, RU, 1997, 1998, Open Source, C, Linux, GPL v2, 
GOLD STAR, Massachusetts Institute of Technology, US, 1970, Academic, 
Goldilocks, Seonjae Soft Co., KR, 2010, Commercial, Proprietary, 
GOODS, Konstantin Knizhnik, RU, Open Source, Supported languages:C++, MIT, 
Google F1, Google Inc, US, 2013, Commercial, C++, Supported languages:C++, 
GoshawkDB, Matthew Sackman, GB, 2016, Commercial; Open Source, AGPL v3, 
GRACE, University of Tokyo, JP, 1981, Academic, 
GraphBase, FactNexus, AU, Commercial, Supported languages:Java, Proprietary, 
GraphDB, Ontotext, BG, 2000, Commercial, Java, Supported languages:Java, All OS with Java VM, Proprietary, 
GrapheekDB, Raphaël Braud, FR, 2014, 2015, Open Source, Python, Supported languages:Python, GPL v3, 
GrapheneDB, GrapheneDB Labs; S.L., ES, 2012, Commercial, Supported languages:Java; PHP; Python; Ruby, Hosted, 
Graphik, Coleman Word, US, 2020, Hobby; Open Source, Go, Apache v2, 
GreatSQL, Beijing Wanli Open Source Software Co.; Ltd., CN, 2020, Commercial; Open Source, C++, Hosted; Linux, GPL v2, 
Greenplum, Greenplum; Pivotal, US, 2003, Commercial; Open Source, C, Supported languages:C++; Perl; PL/SQL; Python, Linux, Apache v2, 
